risk_budget,baseline,mean_utility_diff,ci95_utility_diff,wins_over_seeds,seeds
0.18000,causal_event_graph_credit,0.73835,0.01461,10,10
0.24000,causal_event_graph_credit,0.70610,0.01208,10,10
0.30000,causal_event_graph_credit,0.57004,0.02525,10,10
0.36000,causal_event_graph_credit,0.45213,0.02388,10,10
0.18000,counterfactual_prefix_search,0.74630,0.01283,10,10
0.24000,counterfactual_prefix_search,0.65309,0.01533,10,10
0.30000,counterfactual_prefix_search,0.48824,0.01871,10,10
0.36000,counterfactual_prefix_search,0.40254,0.02020,10,10
0.18000,diffusion_policy_credit_probe,0.72167,0.01537,10,10
0.24000,diffusion_policy_credit_probe,0.72273,0.01103,10,10
0.30000,diffusion_policy_credit_probe,0.68163,0.01712,10,10
0.36000,diffusion_policy_credit_probe,0.57758,0.01412,10,10
0.18000,inverse_dynamics_saliency,0.69213,0.01247,10,10
0.24000,inverse_dynamics_saliency,0.69224,0.01154,10,10
0.30000,inverse_dynamics_saliency,0.69143,0.01200,10,10
0.36000,inverse_dynamics_saliency,0.68793,0.01416,10,10
0.18000,object_state_change_attribution,0.72246,0.01318,10,10
0.24000,object_state_change_attribution,0.72260,0.01121,10,10
0.30000,object_state_change_attribution,0.68267,0.01520,10,10
0.36000,object_state_change_attribution,0.58371,0.01761,10,10
0.18000,oracle_event_credit_labels,-0.11712,0.01350,0,10
0.24000,oracle_event_credit_labels,-0.12775,0.01229,0,10
0.30000,oracle_event_credit_labels,-0.11704,0.01350,0,10
0.36000,oracle_event_credit_labels,-0.12675,0.01428,0,10
0.18000,proposed_reward_free_temporal_credit_v4,0.50461,0.01505,10,10
0.24000,proposed_reward_free_temporal_credit_v4,0.26378,0.01676,10,10
0.30000,proposed_reward_free_temporal_credit_v4,0.23320,0.01476,10,10
0.36000,proposed_reward_free_temporal_credit_v4,0.21929,0.01755,10,10
0.18000,pseudo_reward_td_relabeling,0.71881,0.01176,10,10
0.24000,pseudo_reward_td_relabeling,0.71726,0.01187,10,10
0.30000,pseudo_reward_td_relabeling,0.71764,0.01278,10,10
0.36000,pseudo_reward_td_relabeling,0.64739,0.01293,10,10
0.18000,sequence_contrastive_credit,0.71650,0.01369,10,10
0.24000,sequence_contrastive_credit,0.71979,0.01122,10,10
0.30000,sequence_contrastive_credit,0.71196,0.01309,10,10
0.36000,sequence_contrastive_credit,0.67226,0.01918,10,10
0.18000,temporal_difference_world_model,0.73836,0.01286,10,10
0.24000,temporal_difference_world_model,0.70291,0.01307,10,10
0.30000,temporal_difference_world_model,0.55575,0.01523,10,10
0.36000,temporal_difference_world_model,0.43953,0.02185,10,10
0.18000,transformer_attention_attribution,0.69963,0.01276,10,10
0.24000,transformer_attention_attribution,0.69932,0.01128,10,10
0.30000,transformer_attention_attribution,0.69806,0.01233,10,10
0.36000,transformer_attention_attribution,0.69458,0.01423,10,10
