comparison,baseline,mean_success_diff,ci95_success_diff,mean_utility_diff,ci95_utility_diff,wins_over_seeds,utility_wins_over_seeds,seeds,decision
risk_calibrated_temporal_credit_v5_vs_behavior_clone_no_credit,behavior_clone_no_credit,0.49826,0.00340,1.20539,0.00674,10,10,10,v5_better
risk_calibrated_temporal_credit_v5_vs_causal_event_graph_credit,causal_event_graph_credit,0.18681,0.01126,0.42007,0.01642,10,10,10,v5_better
risk_calibrated_temporal_credit_v5_vs_counterfactual_prefix_search,counterfactual_prefix_search,0.16849,0.00920,0.38211,0.01225,10,10,10,v5_better
risk_calibrated_temporal_credit_v5_vs_diffusion_policy_credit_probe,diffusion_policy_credit_probe,0.20851,0.00571,0.49507,0.00713,10,10,10,v5_better
risk_calibrated_temporal_credit_v5_vs_hindsight_success_relabeling,hindsight_success_relabeling,0.39635,0.00747,0.95400,0.00876,10,10,10,v5_better
risk_calibrated_temporal_credit_v5_vs_inverse_dynamics_saliency,inverse_dynamics_saliency,0.34271,0.01128,0.83659,0.01609,10,10,10,v5_better
risk_calibrated_temporal_credit_v5_vs_object_state_change_attribution,object_state_change_attribution,0.21719,0.01054,0.50091,0.01658,10,10,10,v5_better
risk_calibrated_temporal_credit_v5_vs_oracle_event_credit_labels,oracle_event_credit_labels,-0.08177,0.00906,-0.12540,0.01092,0,0,10,not_decisive
risk_calibrated_temporal_credit_v5_vs_proposed_reward_free_temporal_credit_v4,proposed_reward_free_temporal_credit_v4,0.09670,0.01110,0.20816,0.01394,10,10,10,v5_better
risk_calibrated_temporal_credit_v5_vs_pseudo_reward_td_relabeling,pseudo_reward_td_relabeling,0.21823,0.01087,0.53990,0.01348,10,10,10,v5_better
risk_calibrated_temporal_credit_v5_vs_sequence_contrastive_credit,sequence_contrastive_credit,0.24366,0.00784,0.58263,0.00749,10,10,10,v5_better
risk_calibrated_temporal_credit_v5_vs_temporal_difference_world_model,temporal_difference_world_model,0.16146,0.00636,0.39635,0.00880,10,10,10,v5_better
risk_calibrated_temporal_credit_v5_vs_transformer_attention_attribution,transformer_attention_attribution,0.30017,0.01000,0.73122,0.01079,10,10,10,v5_better
risk_calibrated_temporal_credit_v5_vs_uniform_credit_assignment,uniform_credit_assignment,0.45330,0.00812,1.09920,0.01459,10,10,10,v5_better
