method,rows,success,ci95_success,credit_f1,ci95_credit_f1,delayed_blame_f1,ci95_delayed_blame_f1,false_credit,ci95_false_credit,missed_credit,ci95_missed_credit,irreversible_side_effect,ci95_irreversible_side_effect,wasted_action_rate,ci95_wasted_action_rate,early_correction,ci95_early_correction,correction_latency,ci95_correction_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility
behavior_clone_no_credit,10,0.35252,0.00558,0.08533,0.00637,0.05339,0.00577,0.25312,0.00517,0.51936,0.00751,0.15078,0.00818,0.31866,0.00860,0.10009,0.00516,1.01078,0.00032,0.16288,0.00008,0.58307,0.00028,-0.52730,0.00874
causal_event_graph_credit,10,0.66398,0.01118,0.44080,0.00915,0.40755,0.00669,0.08099,0.00449,0.26172,0.00735,0.04601,0.00298,0.12604,0.00618,0.36554,0.00966,0.68696,0.00020,0.05605,0.00008,0.26037,0.00025,0.25803,0.01548
counterfactual_prefix_search,10,0.68229,0.00525,0.46510,0.00668,0.42708,0.00970,0.06910,0.00366,0.25043,0.00956,0.04410,0.00274,0.11319,0.00469,0.37483,0.00730,0.67657,0.00024,0.05025,0.00005,0.24436,0.00032,0.29598,0.00949
diffusion_policy_credit_probe,10,0.64227,0.00575,0.41510,0.00631,0.37153,0.00985,0.10260,0.00339,0.28220,0.00594,0.05599,0.00436,0.14800,0.00568,0.33759,0.00669,0.72401,0.00022,0.07846,0.00005,0.28779,0.00023,0.18303,0.00697
hindsight_success_relabeling,10,0.45443,0.00670,0.20130,0.00789,0.14792,0.00481,0.20382,0.00513,0.43186,0.01092,0.11519,0.00543,0.25972,0.00517,0.17144,0.00642,0.91846,0.00025,0.13033,0.00005,0.46989,0.00032,-0.27591,0.00948
inverse_dynamics_saliency,10,0.50807,0.00752,0.25964,0.00405,0.20069,0.00779,0.18142,0.00996,0.39514,0.01021,0.10295,0.00391,0.22865,0.00640,0.20660,0.00772,0.87593,0.00021,0.11719,0.00006,0.42446,0.00024,-0.15850,0.01256
object_state_change_attribution,10,0.63359,0.01159,0.40964,0.00627,0.35981,0.00979,0.10226,0.00436,0.29132,0.01246,0.05061,0.00405,0.15347,0.00616,0.32283,0.00903,0.72770,0.00018,0.07143,0.00007,0.29622,0.00020,0.17719,0.01744
oracle_event_credit_labels,10,0.93255,0.00515,0.65668,0.00384,0.68481,0.00700,0.00252,0.00069,0.09748,0.00409,0.00234,0.00092,0.00321,0.00122,0.56484,0.00920,0.45734,0.00020,0.00200,0.00000,0.00000,0.00000,0.80350,0.00602
proposed_reward_free_temporal_credit_v4,10,0.75408,0.01010,0.51727,0.00623,0.52760,0.01378,0.03620,0.00324,0.20616,0.00829,0.01745,0.00259,0.08220,0.00645,0.44983,0.01254,0.59373,0.00020,0.03776,0.00007,0.18209,0.00025,0.46994,0.01307
pseudo_reward_td_relabeling,10,0.63255,0.01066,0.35972,0.00873,0.39575,0.00896,0.13325,0.00511,0.29922,0.00843,0.06085,0.00432,0.16476,0.00517,0.33377,0.00855,0.71236,0.00026,0.08335,0.00003,0.29794,0.00035,0.13819,0.01122
risk_calibrated_temporal_credit_v5,10,0.85078,0.00548,0.59262,0.00923,0.62083,0.00949,0.00234,0.00098,0.13906,0.00504,0.00217,0.00058,0.02708,0.00174,0.52717,0.00617,0.50794,0.00013,0.00257,0.00001,0.07714,0.00039,0.67809,0.00623
sequence_contrastive_credit,10,0.60712,0.00428,0.38785,0.00913,0.31580,0.01075,0.12179,0.00851,0.31510,0.00689,0.06892,0.00498,0.16606,0.00742,0.30278,0.00867,0.76774,0.00023,0.07801,0.00002,0.32133,0.00033,0.09546,0.00773
temporal_difference_world_model,10,0.68932,0.00608,0.42135,0.00963,0.45859,0.00935,0.08976,0.00529,0.25625,0.01058,0.04757,0.00183,0.12535,0.00394,0.39045,0.01003,0.65779,0.00024,0.05733,0.00005,0.24660,0.00031,0.28174,0.00860
transformer_attention_attribution,10,0.55061,0.00752,0.32014,0.01016,0.24609,0.00807,0.15686,0.00831,0.35399,0.01034,0.09193,0.00410,0.20373,0.00705,0.25460,0.00745,0.83026,0.00024,0.09985,0.00003,0.37601,0.00017,-0.05312,0.00693
uniform_credit_assignment,10,0.39748,0.00625,0.13490,0.00596,0.08750,0.00427,0.23663,0.00791,0.48429,0.00620,0.13464,0.00564,0.29219,0.00817,0.12613,0.00447,0.97596,0.00022,0.15248,0.00005,0.53585,0.00021,-0.42111,0.01410
