method,split,rows,success,ci95_success,credit_f1,ci95_credit_f1,delayed_blame_f1,ci95_delayed_blame_f1,false_credit,ci95_false_credit,missed_credit,ci95_missed_credit,irreversible_side_effect,ci95_irreversible_side_effect,wasted_action_rate,ci95_wasted_action_rate,early_correction,ci95_early_correction,correction_latency,ci95_correction_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility
behavior_clone_no_credit,combined_extreme,480,0.33160,0.01770,0.06250,0.00874,0.02535,0.00570,0.27674,0.01718,0.54340,0.01876,0.18160,0.01418,0.35035,0.01769,0.07882,0.00977,1.04731,0.00694,0.17804,0.00150,0.61293,0.00435,-0.63025,0.02856
behavior_clone_no_credit,compensatory_mask_shift,480,0.35729,0.01733,0.08681,0.01059,0.05174,0.00847,0.25451,0.01623,0.50382,0.01743,0.14514,0.01296,0.30833,0.01744,0.10347,0.01079,1.00040,0.00612,0.16024,0.00142,0.57863,0.00429,-0.50218,0.02858
behavior_clone_no_credit,confounded_credit_shift,480,0.37465,0.01768,0.10764,0.01094,0.08507,0.00996,0.24444,0.01679,0.49931,0.01866,0.13785,0.01276,0.30139,0.01700,0.13125,0.01223,0.96427,0.00543,0.15354,0.00143,0.56143,0.00431,-0.45945,0.02837
behavior_clone_no_credit,delayed_outcome_shift,480,0.38368,0.01801,0.14583,0.01264,0.09688,0.01057,0.15313,0.01285,0.47396,0.01814,0.12049,0.01196,0.28437,0.01620,0.12465,0.01200,0.97133,0.00552,0.12952,0.00094,0.51764,0.00376,-0.36550,0.02748
behavior_clone_no_credit,false_credit_shift,480,0.35347,0.01793,0.09861,0.01068,0.06910,0.00993,0.28160,0.01675,0.52326,0.01802,0.14306,0.01268,0.31701,0.01669,0.11285,0.01142,0.99909,0.00605,0.16269,0.00146,0.58238,0.00427,-0.53024,0.02855
behavior_clone_no_credit,hidden_precondition_shift,480,0.36771,0.01716,0.09340,0.01082,0.06736,0.00928,0.19965,0.01455,0.50694,0.01840,0.13333,0.01232,0.29896,0.01644,0.10521,0.01135,0.99632,0.00611,0.15056,0.00122,0.55833,0.00413,-0.44652,0.02654
behavior_clone_no_credit,intervention_delay_shift,480,0.37292,0.01762,0.12083,0.01164,0.10000,0.01062,0.19236,0.01490,0.49410,0.01821,0.13958,0.01281,0.27500,0.01654,0.08854,0.01046,0.97424,0.00598,0.13947,0.00111,0.53810,0.00393,-0.42001,0.02781
behavior_clone_no_credit,nominal,480,0.44757,0.01815,0.20486,0.01462,0.17257,0.01293,0.13299,0.01229,0.42222,0.01827,0.09132,0.01017,0.22708,0.01602,0.17986,0.01411,0.86136,0.00369,0.09425,0.00077,0.44746,0.00318,-0.18220,0.02646
causal_event_graph_credit,combined_extreme,480,0.66944,0.01682,0.42326,0.01835,0.38576,0.01810,0.09792,0.01061,0.27257,0.01654,0.05347,0.00819,0.13368,0.01238,0.35243,0.01754,0.72218,0.00692,0.07123,0.00150,0.27190,0.00173,0.23102,0.02158
causal_event_graph_credit,compensatory_mask_shift,480,0.66354,0.01847,0.44410,0.01796,0.40278,0.01770,0.07812,0.00972,0.25174,0.01694,0.04167,0.00752,0.11910,0.01249,0.35208,0.01685,0.67707,0.00606,0.05349,0.00140,0.25901,0.00161,0.27403,0.02298
causal_event_graph_credit,confounded_credit_shift,480,0.67847,0.01763,0.47049,0.01779,0.44965,0.01775,0.08819,0.01023,0.25139,0.01505,0.03438,0.00670,0.11458,0.01213,0.39931,0.01826,0.64032,0.00537,0.04684,0.00143,0.25155,0.00163,0.30150,0.02183
