method,split,rows,success,ci95_success,credit_f1,ci95_credit_f1,delayed_blame_f1,ci95_delayed_blame_f1,false_credit,ci95_false_credit,missed_credit,ci95_missed_credit,irreversible_side_effect,ci95_irreversible_side_effect,wasted_action_rate,ci95_wasted_action_rate,early_correction,ci95_early_correction,correction_latency,ci95_correction_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility
causal_event_graph_credit,delayed_outcome_shift,480,0.68958,0.01684,0.49688,0.01730,0.46597,0.01802,0.04132,0.00751,0.22153,0.01562,0.03125,0.00650,0.10486,0.01140,0.40104,0.01818,0.65148,0.00548,0.02270,0.00093,0.23562,0.00149,0.35727,0.02224
causal_event_graph_credit,false_credit_shift,480,0.66667,0.01758,0.44931,0.01797,0.41042,0.01840,0.09306,0.01099,0.26181,0.01634,0.04965,0.00796,0.12986,0.01242,0.38056,0.01778,0.67385,0.00600,0.05589,0.00147,0.26017,0.00162,0.25062,0.02396
causal_event_graph_credit,hidden_precondition_shift,480,0.65625,0.01672,0.44653,0.01780,0.43125,0.01805,0.05486,0.00800,0.26076,0.01705,0.03924,0.00703,0.12153,0.01287,0.37708,0.01832,0.67475,0.00603,0.04361,0.00121,0.25038,0.00150,0.27644,0.02177
causal_event_graph_credit,intervention_delay_shift,480,0.66944,0.01666,0.47465,0.01841,0.45729,0.01747,0.05174,0.00831,0.23681,0.01549,0.04306,0.00734,0.11076,0.01138,0.33333,0.01769,0.65352,0.00595,0.03261,0.00111,0.24319,0.00145,0.30795,0.02134
causal_event_graph_credit,nominal,480,0.70799,0.01634,0.57153,0.01858,0.54410,0.01791,0.02431,0.00577,0.17326,0.01423,0.01736,0.00486,0.07743,0.00902,0.44375,0.01830,0.54289,0.00363,0.00206,0.00002,0.20433,0.00151,0.45542,0.01981
counterfactual_prefix_search,combined_extreme,480,0.67153,0.01726,0.43924,0.01847,0.41424,0.01800,0.07604,0.00952,0.28125,0.01744,0.04965,0.00852,0.11424,0.01167,0.34514,0.01696,0.71173,0.00690,0.06547,0.00149,0.25479,0.00159,0.25534,0.02311
counterfactual_prefix_search,compensatory_mask_shift,480,0.69688,0.01720,0.47153,0.01846,0.41458,0.01715,0.06840,0.00909,0.23333,0.01519,0.03854,0.00693,0.11597,0.01175,0.37153,0.01886,0.66678,0.00610,0.04774,0.00141,0.24288,0.00146,0.32424,0.02012
counterfactual_prefix_search,confounded_credit_shift,480,0.69792,0.01728,0.49132,0.01815,0.44722,0.01789,0.06840,0.00909,0.22986,0.01587,0.02743,0.00617,0.11354,0.01124,0.42569,0.01871,0.63058,0.00535,0.04098,0.00143,0.23517,0.00144,0.34680,0.02145
counterfactual_prefix_search,delayed_outcome_shift,480,0.68993,0.01709,0.51910,0.01874,0.46354,0.01846,0.03264,0.00673,0.21146,0.01446,0.02361,0.00555,0.09757,0.01078,0.38819,0.01823,0.64133,0.00549,0.01719,0.00092,0.22225,0.00129,0.37800,0.02029
counterfactual_prefix_search,false_credit_shift,480,0.68958,0.01754,0.47153,0.01750,0.43160,0.01766,0.07986,0.01024,0.24375,0.01544,0.04236,0.00762,0.11458,0.01166,0.39062,0.01766,0.66356,0.00598,0.05000,0.00146,0.24338,0.00145,0.30407,0.02207
counterfactual_prefix_search,hidden_precondition_shift,480,0.67118,0.01724,0.47813,0.01780,0.44792,0.01887,0.05208,0.00826,0.24340,0.01645,0.04583,0.00739,0.10799,0.01183,0.39201,0.01791,0.66423,0.00606,0.03780,0.00121,0.23640,0.00133,0.30028,0.02248
counterfactual_prefix_search,intervention_delay_shift,480,0.69340,0.01724,0.51285,0.01797,0.47014,0.01743,0.04340,0.00696,0.21771,0.01556,0.03924,0.00709,0.09757,0.01095,0.37361,0.01846,0.64365,0.00595,0.02688,0.00110,0.22887,0.00126,0.35534,0.02138
counterfactual_prefix_search,nominal,480,0.71389,0.01519,0.59340,0.01761,0.56007,0.01759,0.01632,0.00464,0.15556,0.01369,0.01146,0.00390,0.07431,0.00989,0.45625,0.01793,0.53318,0.00363,0.00200,0.00000,0.19334,0.00139,0.47958,0.01795
diffusion_policy_credit_probe,combined_extreme,480,0.62674,0.01799,0.40625,0.01779,0.36076,0.01825,0.11424,0.01123,0.29514,0.01686,0.06736,0.00887,0.15764,0.01279,0.31389,0.01648,0.75977,0.00689,0.09362,0.00149,0.30106,0.00182,0.13106,0.02290
diffusion_policy_credit_probe,compensatory_mask_shift,480,0.64687,0.01792,0.40868,0.01852,0.37118,0.01751,0.10417,0.01112,0.28021,0.01686,0.04479,0.00722,0.14722,0.01327,0.33437,0.01749,0.71395,0.00609,0.07592,0.00141,0.28590,0.00177,0.20233,0.02336
diffusion_policy_credit_probe,confounded_credit_shift,480,0.65278,0.01798,0.45972,0.01866,0.38611,0.01726,0.09410,0.01081,0.26354,0.01613,0.03993,0.00706,0.13403,0.01327,0.36215,0.01604,0.67743,0.00538,0.06914,0.00143,0.27706,0.00177,0.23998,0.02322
diffusion_policy_credit_probe,delayed_outcome_shift,480,0.65625,0.01756,0.48507,0.01804,0.42118,0.01771,0.05243,0.00805,0.24514,0.01623,0.03125,0.00636,0.12500,0.01207,0.37222,0.01750,0.68837,0.00550,0.04515,0.00093,0.25957,0.00166,0.28650,0.02166
diffusion_policy_credit_probe,false_credit_shift,480,0.65347,0.01689,0.42847,0.01696,0.37049,0.01921,0.11319,0.01165,0.27535,0.01717,0.05000,0.00785,0.14757,0.01279,0.34687,0.01739,0.71112,0.00596,0.07830,0.00146,0.28698,0.00173,0.20096,0.02203
diffusion_policy_credit_probe,hidden_precondition_shift,480,0.64201,0.01689,0.41701,0.01787,0.38368,0.01712,0.07882,0.01014,0.27813,0.01713,0.06181,0.00878,0.13958,0.01306,0.35521,0.01775,0.71120,0.00603,0.06599,0.00121,0.27720,0.00167,0.19777,0.02461
diffusion_policy_credit_probe,intervention_delay_shift,480,0.65347,0.01799,0.46910,0.01911,0.41632,0.01779,0.07153,0.00933,0.25347,0.01666,0.05868,0.00860,0.13993,0.01250,0.32396,0.01797,0.68986,0.00593,0.05512,0.00109,0.26829,0.00160,0.23059,0.02393
diffusion_policy_credit_probe,nominal,480,0.67708,0.01756,0.53194,0.01828,0.50174,0.01832,0.03715,0.00705,0.19722,0.01439,0.03021,0.00658,0.08681,0.01033,0.40833,0.01703,0.57938,0.00365,0.01080,0.00067,0.22486,0.00163,0.37980,0.02147
hindsight_success_relabeling,combined_extreme,480,0.42708,0.01774,0.17049,0.01357,0.12222,0.01222,0.22639,0.01554,0.44965,0.01964,0.12986,0.01239,0.27083,0.01681,0.14722,0.01309,0.95467,0.00698,0.14552,0.00149,0.49436,0.00346,-0.35159,0.02805
hindsight_success_relabeling,compensatory_mask_shift,480,0.46563,0.01898,0.21042,0.01500,0.15208,0.01325,0.19340,0.01443,0.41250,0.01848,0.11354,0.01153,0.26701,0.01602,0.17986,0.01395,0.90829,0.00614,0.12767,0.00140,0.46643,0.00341,-0.25244,0.02756
hindsight_success_relabeling,confounded_credit_shift,480,0.46563,0.01767,0.23472,0.01568,0.17674,0.01398,0.20347,0.01490,0.41736,0.01836,0.10451,0.01116,0.25868,0.01695,0.19479,0.01428,0.87187,0.00540,0.12098,0.00143,0.45163,0.00347,-0.23786,0.02652
hindsight_success_relabeling,delayed_outcome_shift,480,0.49688,0.01849,0.28090,0.01559,0.19792,0.01463,0.11701,0.01212,0.39861,0.01836,0.09167,0.01087,0.23889,0.01568,0.21042,0.01482,0.88007,0.00551,0.09707,0.00094,0.41666,0.00313,-0.13023,0.02669
hindsight_success_relabeling,false_credit_shift,480,0.45972,0.01789,0.20417,0.01382,0.16215,0.01350,0.23299,0.01488,0.44062,0.01784,0.10938,0.01141,0.25035,0.01612,0.17778,0.01369,0.90645,0.00604,0.13016,0.00146,0.46894,0.00344,-0.27415,0.02675
hindsight_success_relabeling,hidden_precondition_shift,480,0.46528,0.01736,0.22014,0.01521,0.15521,0.01343,0.16250,0.01389,0.42465,0.01816,0.10799,0.01110,0.25069,0.01632,0.18090,0.01362,0.90445,0.00608,0.11797,0.00121,0.44983,0.00332,-0.22544,0.02653
hindsight_success_relabeling,intervention_delay_shift,480,0.48681,0.01837,0.24757,0.01480,0.18785,0.01476,0.14618,0.01267,0.39583,0.01793,0.11111,0.01129,0.24618,0.01620,0.15937,0.01328,0.88295,0.00589,0.10706,0.00110,0.43352,0.00316,-0.18030,0.02747
hindsight_success_relabeling,nominal,480,0.53819,0.01703,0.31736,0.01771,0.28368,0.01584,0.10833,0.01126,0.33819,0.01726,0.07500,0.00916,0.18681,0.01427,0.25174,0.01550,0.77007,0.00367,0.06173,0.00076,0.35806,0.00272,0.01168,0.02332
inverse_dynamics_saliency,combined_extreme,480,0.49132,0.01640,0.23924,0.01548,0.17083,0.01422,0.19896,0.01447,0.39410,0.01845,0.11493,0.01154,0.24063,0.01621,0.19236,0.01417,0.91164,0.00695,0.13232,0.00149,0.44616,0.00295,-0.21076,0.02567
inverse_dynamics_saliency,compensatory_mask_shift,480,0.51944,0.01768,0.25833,0.01552,0.21736,0.01470,0.17569,0.01436,0.40451,0.01837,0.10625,0.01142,0.22708,0.01628,0.22049,0.01528,0.86615,0.00612,0.11459,0.00140,0.42115,0.00292,-0.14920,0.02620
inverse_dynamics_saliency,confounded_credit_shift,480,0.52500,0.01845,0.30174,0.01654,0.22951,0.01543,0.17222,0.01454,0.39826,0.01929,0.08299,0.01020,0.21389,0.01574,0.24271,0.01611,0.82892,0.00539,0.10792,0.00143,0.40762,0.00295,-0.09909,0.02623
inverse_dynamics_saliency,delayed_outcome_shift,480,0.53472,0.01837,0.32500,0.01667,0.25451,0.01553,0.11493,0.01209,0.36806,0.01768,0.08819,0.01032,0.19653,0.01453,0.23681,0.01513,0.83788,0.00551,0.08391,0.00093,0.37759,0.00274,-0.04366,0.02588
inverse_dynamics_saliency,false_credit_shift,480,0.49861,0.01948,0.26667,0.01522,0.21319,0.01456,0.20278,0.01482,0.40035,0.01815,0.10069,0.01121,0.22222,0.01575,0.20590,0.01449,0.86342,0.00597,0.11696,0.00146,0.42377,0.00290,-0.17191,0.02711
inverse_dynamics_saliency,hidden_precondition_shift,480,0.52292,0.01765,0.27431,0.01529,0.20139,0.01434,0.14826,0.01309,0.38160,0.01719,0.08993,0.01067,0.22465,0.01540,0.20764,0.01444,0.86251,0.00608,0.10488,0.00121,0.40677,0.00288,-0.10212,0.02514
inverse_dynamics_saliency,intervention_delay_shift,480,0.52743,0.01895,0.30660,0.01678,0.25660,0.01617,0.14028,0.01274,0.37639,0.01792,0.09688,0.01125,0.20312,0.01419,0.19444,0.01381,0.84093,0.00596,0.09379,0.00110,0.39214,0.00273,-0.08154,0.02660
inverse_dynamics_saliency,nominal,480,0.56285,0.01754,0.37674,0.01782,0.32049,0.01716,0.08646,0.01001,0.31215,0.01698,0.05451,0.00850,0.16806,0.01393,0.28194,0.01636,0.72926,0.00363,0.04860,0.00077,0.32418,0.00238,0.09651,0.02392
object_state_change_attribution,combined_extreme,480,0.61632,0.01788,0.37361,0.01691,0.33889,0.01687,0.11319,0.01141,0.30833,0.01703,0.05903,0.00898,0.16944,0.01379,0.30417,0.01682,0.76286,0.00690,0.08659,0.00149,0.30984,0.00194,0.12152,0.02367
object_state_change_attribution,compensatory_mask_shift,480,0.62500,0.01782,0.41563,0.01858,0.34792,0.01694,0.09826,0.01144,0.28646,0.01631,0.04826,0.00767,0.14861,0.01356,0.33021,0.01610,0.71781,0.00609,0.06892,0.00140,0.29489,0.00189,0.17993,0.02378
object_state_change_attribution,confounded_credit_shift,480,0.64062,0.01714,0.43125,0.01774,0.37951,0.01734,0.10035,0.01158,0.25521,0.01637,0.03576,0.00671,0.13299,0.01244,0.36458,0.01728,0.68099,0.00538,0.06213,0.00143,0.28618,0.00191,0.23755,0.02219
object_state_change_attribution,delayed_outcome_shift,480,0.64861,0.01716,0.48333,0.01775,0.39306,0.01721,0.04965,0.00813,0.26806,0.01716,0.03611,0.00644,0.12569,0.01228,0.36424,0.01751,0.69158,0.00550,0.03807,0.00094,0.26731,0.00173,0.26884,0.02201
object_state_change_attribution,false_credit_shift,480,0.64896,0.01765,0.43021,0.01827,0.37500,0.01853,0.11285,0.01130,0.29063,0.01617,0.05174,0.00820,0.15069,0.01352,0.32986,0.01671,0.71520,0.00600,0.07122,0.00146,0.29584,0.00195,0.19026,0.02341
object_state_change_attribution,hidden_precondition_shift,480,0.64410,0.01805,0.41910,0.01758,0.37743,0.01781,0.08472,0.00973,0.27986,0.01636,0.04340,0.00766,0.14514,0.01267,0.32708,0.01668,0.71493,0.00605,0.05899,0.00121,0.28429,0.00178,0.21705,0.02348
object_state_change_attribution,intervention_delay_shift,480,0.63125,0.01697,0.45347,0.01759,0.40486,0.01755,0.07326,0.00959,0.27361,0.01697,0.05417,0.00844,0.12535,0.01151,0.33056,0.01663,0.69388,0.00597,0.04817,0.00112,0.27609,0.00172,0.21699,0.02299
object_state_change_attribution,nominal,480,0.64618,0.01691,0.52257,0.01828,0.48472,0.01846,0.03576,0.00698,0.21181,0.01478,0.02257,0.00571,0.09410,0.01029,0.40729,0.01694,0.58301,0.00364,0.00631,0.00044,0.23262,0.00170,0.35110,0.02101
oracle_event_credit_labels,combined_extreme,480,0.93264,0.00943,0.65243,0.01815,0.64896,0.01736,0.00347,0.00213,0.11632,0.01316,0.00347,0.00213,0.00382,0.00223,0.53646,0.01763,0.49165,0.00686,0.00200,0.00001,0.00000,0.00000,0.78811,0.01068
oracle_event_credit_labels,compensatory_mask_shift,480,0.92951,0.00981,0.65868,0.01674,0.70243,0.01708,0.00278,0.00191,0.09271,0.01070,0.00139,0.00136,0.00278,0.00191,0.56181,0.01753,0.44790,0.00600,0.00200,0.00000,0.00000,0.00000,0.80517,0.01016
oracle_event_credit_labels,confounded_credit_shift,480,0.93333,0.01013,0.69097,0.01761,0.72118,0.01685,0.00174,0.00152,0.08090,0.01081,0.00104,0.00118,0.00208,0.00166,0.57882,0.01855,0.41108,0.00528,0.00200,0.00000,0.00000,0.00000,0.82115,0.01048
oracle_event_credit_labels,delayed_outcome_shift,480,0.90729,0.01137,0.71250,0.01649,0.72813,0.01701,0.00208,0.00166,0.06979,0.00926,0.00313,0.00202,0.00243,0.00179,0.58576,0.01726,0.42607,0.00550,0.00200,0.00000,0.00000,0.00000,0.79470,0.01198
oracle_event_credit_labels,false_credit_shift,480,0.94097,0.00898,0.65694,0.01790,0.69097,0.01685,0.00208,0.00166,0.08924,0.01110,0.00208,0.00166,0.00347,0.00213,0.58924,0.01827,0.44343,0.00597,0.00200,0.00000,0.00000,0.00000,0.81794,0.01008
oracle_event_credit_labels,hidden_precondition_shift,480,0.92708,0.01051,0.65868,0.01660,0.69688,0.01620,0.00174,0.00152,0.09167,0.01075,0.00243,0.00203,0.00278,0.00191,0.57188,0.01771,0.44638,0.00600,0.00200,0.00000,0.00000,0.00000,0.80277,0.01178
oracle_event_credit_labels,intervention_delay_shift,480,0.91285,0.01123,0.69896,0.01770,0.71875,0.01746,0.00208,0.00166,0.06736,0.00967,0.00347,0.00213,0.00069,0.00096,0.55868,0.01832,0.42678,0.00585,0.00200,0.00000,0.00000,0.00000,0.80186,0.01159
oracle_event_credit_labels,nominal,480,0.89306,0.01082,0.77743,0.01564,0.80417,0.01460,0.00208,0.00166,0.01667,0.00478,0.00243,0.00179,0.00313,0.00202,0.61875,0.01759,0.31906,0.00359,0.00200,0.00000,0.00000,0.00000,0.82023,0.01089
proposed_reward_free_temporal_credit_v4,combined_extreme,480,0.75243,0.01671,0.50347,0.01870,0.49549,0.01834,0.04201,0.00723,0.22500,0.01564,0.02535,0.00561,0.09132,0.01049,0.42812,0.01902,0.62877,0.00691,0.05290,0.00150,0.18818,0.00166,0.43643,0.02002
proposed_reward_free_temporal_credit_v4,compensatory_mask_shift,480,0.74757,0.01571,0.52431,0.01843,0.53785,0.01833,0.03750,0.00673,0.20451,0.01610,0.01458,0.00454,0.08299,0.00992,0.45833,0.01737,0.58430,0.00607,0.03520,0.00141,0.18131,0.00138,0.46788,0.01913
proposed_reward_free_temporal_credit_v4,confounded_credit_shift,480,0.76146,0.01568,0.53924,0.01920,0.54861,0.01837,0.03993,0.00719,0.18507,0.01479,0.01042,0.00374,0.06910,0.00920,0.46285,0.01812,0.54733,0.00538,0.02845,0.00142,0.17706,0.00127,0.50841,0.01914
proposed_reward_free_temporal_credit_v4,delayed_outcome_shift,480,0.74687,0.01677,0.58229,0.01878,0.56424,0.01781,0.00903,0.00338,0.16667,0.01467,0.00660,0.00291,0.06076,0.00870,0.48090,0.01923,0.55903,0.00547,0.00803,0.00059,0.16758,0.00091,0.52552,0.01829
proposed_reward_free_temporal_credit_v4,false_credit_shift,480,0.75868,0.01527,0.52049,0.01840,0.52465,0.01795,0.04306,0.00752,0.20521,0.01485,0.01285,0.00410,0.08333,0.01051,0.44861,0.01923,0.58055,0.00600,0.03756,0.00146,0.18234,0.00135,0.47813,0.01839
proposed_reward_free_temporal_credit_v4,hidden_precondition_shift,480,0.75764,0.01546,0.52083,0.01772,0.55243,0.01850,0.02222,0.00534,0.18993,0.01415,0.01701,0.00501,0.07118,0.00923,0.46424,0.01746,0.58131,0.00600,0.02540,0.00121,0.17654,0.00111,0.49731,0.01865
proposed_reward_free_temporal_credit_v4,intervention_delay_shift,480,0.75521,0.01687,0.56632,0.01749,0.55451,0.01853,0.01458,0.00443,0.17222,0.01372,0.01424,0.00449,0.07014,0.00901,0.42118,0.01734,0.56128,0.00593,0.01541,0.00099,0.17223,0.00101,0.51369,0.01840
proposed_reward_free_temporal_credit_v4,nominal,480,0.75000,0.01658,0.62743,0.01732,0.64271,0.01770,0.00417,0.00233,0.11389,0.01144,0.00278,0.00191,0.03854,0.00712,0.53021,0.01812,0.45173,0.00364,0.00200,0.00000,0.15034,0.00103,0.58878,0.01823
pseudo_reward_td_relabeling,combined_extreme,480,0.62604,0.01769,0.32674,0.01748,0.37812,0.01705,0.15139,0.01300,0.31701,0.01745,0.07049,0.00937,0.17639,0.01297,0.31319,0.01728,0.74755,0.00693,0.09851,0.00149,0.31221,0.00203,0.09084,0.02426
pseudo_reward_td_relabeling,compensatory_mask_shift,480,0.64028,0.01795,0.36771,0.01821,0.40382,0.01827,0.12847,0.01269,0.28889,0.01704,0.05903,0.00903,0.15139,0.01359,0.32361,0.01627,0.70235,0.00609,0.08086,0.00140,0.29590,0.00201,0.16464,0.02447
pseudo_reward_td_relabeling,confounded_credit_shift,480,0.63090,0.01806,0.38785,0.01771,0.41319,0.01910,0.11840,0.01146,0.29896,0.01613,0.05556,0.00814,0.15417,0.01408,0.34687,0.01763,0.66610,0.00536,0.07407,0.00143,0.28719,0.00208,0.16431,0.02305
pseudo_reward_td_relabeling,delayed_outcome_shift,480,0.64271,0.01717,0.43611,0.01778,0.42743,0.01813,0.07361,0.01011,0.26875,0.01652,0.04514,0.00785,0.13854,0.01273,0.36979,0.01782,0.67639,0.00551,0.05009,0.00095,0.26430,0.00181,0.23172,0.02330
pseudo_reward_td_relabeling,false_credit_shift,480,0.64062,0.01794,0.35208,0.01755,0.39965,0.01829,0.15174,0.01312,0.30451,0.01724,0.06146,0.00850,0.16285,0.01404,0.34097,0.01659,0.69987,0.00598,0.08317,0.00146,0.29802,0.00201,0.13769,0.02400
pseudo_reward_td_relabeling,hidden_precondition_shift,480,0.62326,0.01751,0.39236,0.01863,0.40139,0.01825,0.10139,0.01169,0.28646,0.01681,0.05243,0.00850,0.16840,0.01361,0.35729,0.01706,0.69969,0.00601,0.07086,0.00122,0.28562,0.00189,0.15958,0.02470
pseudo_reward_td_relabeling,intervention_delay_shift,480,0.64931,0.01697,0.40625,0.01718,0.43090,0.01856,0.07917,0.00968,0.28403,0.01632,0.05833,0.00854,0.15035,0.01293,0.32674,0.01641,0.67851,0.00594,0.05992,0.00111,0.27493,0.00180,0.20628,0.02212
pseudo_reward_td_relabeling,nominal,480,0.67083,0.01750,0.46875,0.01754,0.52465,0.01854,0.06285,0.00880,0.21319,0.01456,0.02187,0.00531,0.09653,0.01079,0.40139,0.01808,0.56735,0.00364,0.01479,0.00075,0.22887,0.00176,0.36026,0.02027
risk_calibrated_temporal_credit_v5,combined_extreme,480,0.85174,0.01385,0.56944,0.01879,0.59722,0.01705,0.00208,0.00166,0.16354,0.01437,0.00208,0.00166,0.02917,0.00599,0.50035,0.01844,0.54208,0.00686,0.00429,0.00035,0.07727,0.00213,0.66210,0.01513
risk_calibrated_temporal_credit_v5,compensatory_mask_shift,480,0.85903,0.01404,0.59653,0.01877,0.62500,0.01758,0.00278,0.00191,0.13681,0.01346,0.00347,0.00213,0.02674,0.00604,0.53507,0.01755,0.49877,0.00602,0.00200,0.00000,0.07712,0.00161,0.68738,0.01512
risk_calibrated_temporal_credit_v5,confounded_credit_shift,480,0.85799,0.01301,0.60903,0.01762,0.62674,0.01763,0.00174,0.00152,0.11771,0.01270,0.00208,0.00166,0.02431,0.00569,0.54479,0.01946,0.46176,0.00532,0.00200,0.00000,0.07589,0.00141,0.70381,0.01398
risk_calibrated_temporal_credit_v5,delayed_outcome_shift,480,0.84514,0.01324,0.66840,0.01751,0.65000,0.01717,0.00174,0.00152,0.10660,0.01165,0.00313,0.00202,0.02187,0.00513,0.55069,0.01776,0.47636,0.00544,0.00200,0.00000,0.07599,0.00067,0.69366,0.01457
risk_calibrated_temporal_credit_v5,false_credit_shift,480,0.85521,0.01287,0.59201,0.01790,0.62396,0.01812,0.00208,0.00166,0.13194,0.01232,0.00243,0.00179,0.02639,0.00570,0.53993,0.01794,0.49368,0.00592,0.00201,0.00000,0.07670,0.00168,0.68811,0.01437
risk_calibrated_temporal_credit_v5,hidden_precondition_shift,480,0.83715,0.01354,0.61250,0.01781,0.63715,0.01802,0.00243,0.00179,0.12396,0.01248,0.00069,0.00096,0.02604,0.00622,0.53333,0.01759,0.49723,0.00599,0.00200,0.00000,0.07747,0.00118,0.67480,0.01424
risk_calibrated_temporal_credit_v5,intervention_delay_shift,480,0.83785,0.01414,0.65382,0.01742,0.66042,0.01809,0.00243,0.00179,0.10660,0.01181,0.00208,0.00166,0.02153,0.00528,0.52292,0.01816,0.47727,0.00590,0.00200,0.00000,0.07621,0.00100,0.68725,0.01485
risk_calibrated_temporal_credit_v5,nominal,480,0.83715,0.01397,0.71007,0.01678,0.74792,0.01624,0.00278,0.00191,0.05347,0.00802,0.00174,0.00152,0.00903,0.00351,0.58472,0.01795,0.36925,0.00361,0.00200,0.00000,0.07038,0.00065,0.73411,0.01444
sequence_contrastive_credit,combined_extreme,480,0.58889,0.01832,0.35729,0.01752,0.29028,0.01609,0.14340,0.01334,0.31910,0.01715,0.07500,0.01008,0.19271,0.01460,0.28368,0.01636,0.80309,0.00691,0.09320,0.00149,0.33689,0.00205,0.03510,0.02528
sequence_contrastive_credit,compensatory_mask_shift,480,0.60660,0.01756,0.38889,0.01748,0.32361,0.01689,0.12118,0.01221,0.32396,0.01712,0.06875,0.00920,0.16181,0.01369,0.30139,0.01658,0.75819,0.00608,0.07544,0.00140,0.31900,0.00201,0.09608,0.02402
sequence_contrastive_credit,confounded_credit_shift,480,0.62187,0.01846,0.40694,0.01798,0.35313,0.01735,0.12222,0.01195,0.29236,0.01709,0.05590,0.00826,0.15625,0.01304,0.33090,0.01659,0.72184,0.00537,0.06871,0.00144,0.30886,0.00206,0.14806,0.02447
sequence_contrastive_credit,delayed_outcome_shift,480,0.62500,0.01890,0.44861,0.01864,0.36493,0.01848,0.06597,0.00921,0.26458,0.01661,0.05174,0.00779,0.13819,0.01252,0.32951,0.01703,0.73160,0.00554,0.04465,0.00093,0.28826,0.00194,0.20599,0.02353
sequence_contrastive_credit,false_credit_shift,480,0.62118,0.01778,0.38924,0.01786,0.33160,0.01762,0.13264,0.01328,0.31250,0.01780,0.06667,0.00854,0.16111,0.01324,0.31562,0.01723,0.75521,0.00600,0.07772,0.00145,0.32054,0.00203,0.11299,0.02354
sequence_contrastive_credit,hidden_precondition_shift,480,0.61181,0.01748,0.41597,0.01792,0.31771,0.01628,0.08993,0.01067,0.30486,0.01691,0.06528,0.00945,0.14861,0.01339,0.31042,0.01605,0.75447,0.00605,0.06566,0.00121,0.30887,0.00198,0.13768,0.02419
