variant,split,seed,episodes,success_rate,tail_risk,calibration_error
observed_only_behavior_clone,nominal,0,600,0.5800,0.4200,0.0132
observed_only_behavior_clone,nominal,1,600,0.5500,0.4500,0.0375
observed_only_behavior_clone,nominal,2,600,0.5917,0.4083,0.0130
observed_only_behavior_clone,nominal,3,600,0.5883,0.4117,0.0021
observed_only_behavior_clone,nominal,4,600,0.6267,0.3733,0.0282
observed_only_behavior_clone,nominal,5,600,0.5533,0.4467,0.0246
observed_only_behavior_clone,nominal,6,600,0.6167,0.3833,0.0374
observed_only_behavior_clone,hidden_mode_shift,0,600,0.4000,0.6000,0.0135
observed_only_behavior_clone,hidden_mode_shift,1,600,0.4383,0.5617,0.0305
observed_only_behavior_clone,hidden_mode_shift,2,600,0.4033,0.5967,0.0044
observed_only_behavior_clone,hidden_mode_shift,3,600,0.3900,0.6100,0.0207
observed_only_behavior_clone,hidden_mode_shift,4,600,0.4283,0.5717,0.0096
observed_only_behavior_clone,hidden_mode_shift,5,600,0.3683,0.6317,0.0299
observed_only_behavior_clone,hidden_mode_shift,6,600,0.3900,0.6100,0.0096
observed_only_behavior_clone,embodiment_shift,0,600,0.4850,0.5150,0.0389
observed_only_behavior_clone,embodiment_shift,1,600,0.4500,0.5500,0.0096
observed_only_behavior_clone,embodiment_shift,2,600,0.3867,0.6133,0.0449
observed_only_behavior_clone,embodiment_shift,3,600,0.4983,0.5017,0.0550
observed_only_behavior_clone,embodiment_shift,4,600,0.4383,0.5617,0.0130
observed_only_behavior_clone,embodiment_shift,5,600,0.4183,0.5817,0.0125
observed_only_behavior_clone,embodiment_shift,6,600,0.4233,0.5767,0.0089
observed_only_behavior_clone,combined_stress,0,600,0.3350,0.6650,0.0065
observed_only_behavior_clone,combined_stress,1,600,0.3167,0.6833,0.0061
observed_only_behavior_clone,combined_stress,2,600,0.3367,0.6633,0.0227
observed_only_behavior_clone,combined_stress,3,600,0.3283,0.6717,0.0026
observed_only_behavior_clone,combined_stress,4,600,0.3883,0.6117,0.0546
observed_only_behavior_clone,combined_stress,5,600,0.3050,0.6950,0.0082
observed_only_behavior_clone,combined_stress,6,600,0.3283,0.6717,0.0137
data_augmentation_wam,nominal,0,600,0.6467,0.3533,0.0020
data_augmentation_wam,nominal,1,600,0.6650,0.3350,0.0227
data_augmentation_wam,nominal,2,600,0.6217,0.3783,0.0153
data_augmentation_wam,nominal,3,600,0.6433,0.3567,0.0100
data_augmentation_wam,nominal,4,600,0.6367,0.3633,0.0011
data_augmentation_wam,nominal,5,600,0.6400,0.3600,0.0018
data_augmentation_wam,nominal,6,600,0.6217,0.3783,0.0195
data_augmentation_wam,hidden_mode_shift,0,600,0.4517,0.5483,0.0467
data_augmentation_wam,hidden_mode_shift,1,600,0.4183,0.5817,0.0736
data_augmentation_wam,hidden_mode_shift,2,600,0.4767,0.5233,0.0100
data_augmentation_wam,hidden_mode_shift,3,600,0.4700,0.5300,0.0131
data_augmentation_wam,hidden_mode_shift,4,600,0.4750,0.5250,0.0125
data_augmentation_wam,hidden_mode_shift,5,600,0.5183,0.4817,0.0305
data_augmentation_wam,hidden_mode_shift,6,600,0.4717,0.5283,0.0192
data_augmentation_wam,embodiment_shift,0,600,0.5083,0.4917,0.0174
data_augmentation_wam,embodiment_shift,1,600,0.5033,0.4967,0.0160
data_augmentation_wam,embodiment_shift,2,600,0.5533,0.4467,0.0393
data_augmentation_wam,embodiment_shift,3,600,0.4900,0.5100,0.0205
data_augmentation_wam,embodiment_shift,4,600,0.5083,0.4917,0.0065
data_augmentation_wam,embodiment_shift,5,600,0.4900,0.5100,0.0253
data_augmentation_wam,embodiment_shift,6,600,0.5167,0.4833,0.0016
data_augmentation_wam,combined_stress,0,600,0.4400,0.5600,0.0127
data_augmentation_wam,combined_stress,1,600,0.4233,0.5767,0.0024
data_augmentation_wam,combined_stress,2,600,0.4383,0.5617,0.0227
data_augmentation_wam,combined_stress,3,600,0.4217,0.5783,0.0096
data_augmentation_wam,combined_stress,4,600,0.4150,0.5850,0.0015
data_augmentation_wam,combined_stress,5,600,0.4100,0.5900,0.0069
data_augmentation_wam,combined_stress,6,600,0.3900,0.6100,0.0298
scalar_uncertainty_planner,nominal,0,600,0.6667,0.3333,0.0041
scalar_uncertainty_planner,nominal,1,600,0.6550,0.3450,0.0168
scalar_uncertainty_planner,nominal,2,600,0.6917,0.3083,0.0126
scalar_uncertainty_planner,nominal,3,600,0.6733,0.3267,0.0028
scalar_uncertainty_planner,nominal,4,600,0.6733,0.3267,0.0111
scalar_uncertainty_planner,nominal,5,600,0.7050,0.2950,0.0335
scalar_uncertainty_planner,nominal,6,600,0.6700,0.3300,0.0170
scalar_uncertainty_planner,hidden_mode_shift,0,600,0.5750,0.4250,0.0257
scalar_uncertainty_planner,hidden_mode_shift,1,600,0.5150,0.4850,0.0353
scalar_uncertainty_planner,hidden_mode_shift,2,600,0.5417,0.4583,0.0159
scalar_uncertainty_planner,hidden_mode_shift,3,600,0.5283,0.4717,0.0263
scalar_uncertainty_planner,hidden_mode_shift,4,600,0.5483,0.4517,0.0146
scalar_uncertainty_planner,hidden_mode_shift,5,600,0.5600,0.4400,0.0100
scalar_uncertainty_planner,hidden_mode_shift,6,600,0.5550,0.4450,0.0105
scalar_uncertainty_planner,embodiment_shift,0,600,0.5900,0.4100,0.0187
scalar_uncertainty_planner,embodiment_shift,1,600,0.6033,0.3967,0.0310
scalar_uncertainty_planner,embodiment_shift,2,600,0.6000,0.4000,0.0205
scalar_uncertainty_planner,embodiment_shift,3,600,0.5717,0.4283,0.0050
scalar_uncertainty_planner,embodiment_shift,4,600,0.5567,0.4433,0.0283
scalar_uncertainty_planner,embodiment_shift,5,600,0.5750,0.4250,0.0030
scalar_uncertainty_planner,embodiment_shift,6,600,0.5550,0.4450,0.0325
scalar_uncertainty_planner,combined_stress,0,600,0.5333,0.4667,0.0416
scalar_uncertainty_planner,combined_stress,1,600,0.5150,0.4850,0.0222
scalar_uncertainty_planner,combined_stress,2,600,0.5000,0.5000,0.0000
scalar_uncertainty_planner,combined_stress,3,600,0.5050,0.4950,0.0079
scalar_uncertainty_planner,combined_stress,4,600,0.5300,0.4700,0.0246
scalar_uncertainty_planner,combined_stress,5,600,0.4667,0.5333,0.0258
scalar_uncertainty_planner,combined_stress,6,600,0.4817,0.5183,0.0263
ensemble_disagreement_planner,nominal,0,600,0.6683,0.3317,0.0210
ensemble_disagreement_planner,nominal,1,600,0.7183,0.2817,0.0198
ensemble_disagreement_planner,nominal,2,600,0.6867,0.3133,0.0034
ensemble_disagreement_planner,nominal,3,600,0.7083,0.2917,0.0069
ensemble_disagreement_planner,nominal,4,600,0.7117,0.2883,0.0045
ensemble_disagreement_planner,nominal,5,600,0.7000,0.3000,0.0035
ensemble_disagreement_planner,nominal,6,600,0.6700,0.3300,0.0266
ensemble_disagreement_planner,hidden_mode_shift,0,600,0.5650,0.4350,0.0176
ensemble_disagreement_planner,hidden_mode_shift,1,600,0.5900,0.4100,0.0017
ensemble_disagreement_planner,hidden_mode_shift,2,600,0.5717,0.4283,0.0116
ensemble_disagreement_planner,hidden_mode_shift,3,600,0.5733,0.4267,0.0213
ensemble_disagreement_planner,hidden_mode_shift,4,600,0.6133,0.3867,0.0129
ensemble_disagreement_planner,hidden_mode_shift,5,600,0.5650,0.4350,0.0247
ensemble_disagreement_planner,hidden_mode_shift,6,600,0.6100,0.3900,0.0202
ensemble_disagreement_planner,embodiment_shift,0,600,0.5933,0.4067,0.0086
ensemble_disagreement_planner,embodiment_shift,1,600,0.6283,0.3717,0.0172
ensemble_disagreement_planner,embodiment_shift,2,600,0.6067,0.3933,0.0040
ensemble_disagreement_planner,embodiment_shift,3,600,0.6700,0.3300,0.0560
ensemble_disagreement_planner,embodiment_shift,4,600,0.5967,0.4033,0.0231
ensemble_disagreement_planner,embodiment_shift,5,600,0.6083,0.3917,0.0008
ensemble_disagreement_planner,embodiment_shift,6,600,0.5950,0.4050,0.0142
ensemble_disagreement_planner,combined_stress,0,600,0.5433,0.4567,0.0113
ensemble_disagreement_planner,combined_stress,1,600,0.5267,0.4733,0.0146
ensemble_disagreement_planner,combined_stress,2,600,0.5517,0.4483,0.0189
ensemble_disagreement_planner,combined_stress,3,600,0.5650,0.4350,0.0209
ensemble_disagreement_planner,combined_stress,4,600,0.5050,0.4950,0.0449
ensemble_disagreement_planner,combined_stress,5,600,0.5417,0.4583,0.0024
ensemble_disagreement_planner,combined_stress,6,600,0.5283,0.4717,0.0109
conformal_risk_filter,nominal,0,600,0.7033,0.2967,0.0128
conformal_risk_filter,nominal,1,600,0.7350,0.2650,0.0188
conformal_risk_filter,nominal,2,600,0.7300,0.2700,0.0212
conformal_risk_filter,nominal,3,600,0.7217,0.2783,0.0074
conformal_risk_filter,nominal,4,600,0.7050,0.2950,0.0037
conformal_risk_filter,nominal,5,600,0.7133,0.2867,0.0009
conformal_risk_filter,nominal,6,600,0.6933,0.3067,0.0154
conformal_risk_filter,hidden_mode_shift,0,600,0.5717,0.4283,0.0450
conformal_risk_filter,hidden_mode_shift,1,600,0.5917,0.4083,0.0251
conformal_risk_filter,hidden_mode_shift,2,600,0.6300,0.3700,0.0207
