method,risk_budget,seed,rows,success,ci95_success,credit_f1,ci95_credit_f1,delayed_blame_f1,ci95_delayed_blame_f1,false_credit,ci95_false_credit,missed_credit,ci95_missed_credit,irreversible_side_effect,ci95_irreversible_side_effect,wasted_action_rate,ci95_wasted_action_rate,early_correction,ci95_early_correction,correction_latency,ci95_correction_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility,covered,ci95_covered
causal_event_graph_credit,0.18000,0,576,0.00000,0.00000,0.05903,0.01926,0.05729,0.01900,0.00000,0.00000,0.08125,0.01929,0.00000,0.00000,0.00000,0.00000,0.13542,0.02797,0.13734,0.02845,0.00883,0.00189,0.03655,0.00758,-0.05870,0.01275,0.13542,0.02797
causal_event_graph_credit,0.18000,1,576,0.00000,0.00000,0.05556,0.01872,0.05382,0.01845,0.00000,0.00000,0.07569,0.01788,0.00000,0.00000,0.00000,0.00000,0.13889,0.02827,0.13849,0.02828,0.00907,0.00193,0.03724,0.00761,-0.05662,0.01216,0.13889,0.02827
causal_event_graph_credit,0.18000,2,576,0.00000,0.00000,0.06076,0.01953,0.05903,0.01926,0.00000,0.00000,0.08750,0.01909,0.00000,0.00000,0.00000,0.00000,0.15972,0.02994,0.15978,0.03006,0.01041,0.00203,0.04301,0.00810,-0.06538,0.01294,0.15972,0.02994
causal_event_graph_credit,0.18000,3,576,0.00000,0.00000,0.05035,0.01787,0.05903,0.01926,0.00000,0.00000,0.07752,0.01795,0.00000,0.00000,0.00000,0.00000,0.14410,0.02871,0.14378,0.02873,0.00907,0.00191,0.03812,0.00763,-0.05830,0.01227,0.14410,0.02871
causal_event_graph_credit,0.18000,4,576,0.00000,0.00000,0.07639,0.02171,0.05903,0.01926,0.00000,0.00000,0.08238,0.01812,0.00000,0.00000,0.00000,0.00000,0.15799,0.02981,0.15728,0.02978,0.01016,0.00200,0.04245,0.00805,-0.06279,0.01252,0.15799,0.02981
causal_event_graph_credit,0.18000,5,576,0.00000,0.00000,0.05208,0.01816,0.06597,0.02029,0.00000,0.00000,0.07457,0.01762,0.00000,0.00000,0.00000,0.00000,0.13889,0.02827,0.13936,0.02845,0.00913,0.00193,0.03687,0.00753,-0.05629,0.01208,0.13889,0.02827
causal_event_graph_credit,0.18000,6,576,0.00000,0.00000,0.05729,0.01900,0.04514,0.01697,0.00000,0.00000,0.05929,0.01560,0.00000,0.00000,0.00000,0.00000,0.11458,0.02603,0.11515,0.02626,0.00704,0.00169,0.03032,0.00692,-0.04549,0.01088,0.11458,0.02603
causal_event_graph_credit,0.18000,7,576,0.00000,0.00000,0.06944,0.02078,0.06771,0.02054,0.00000,0.00000,0.08056,0.01805,0.00000,0.00000,0.00000,0.00000,0.15278,0.02941,0.15156,0.02926,0.00948,0.00191,0.04028,0.00779,-0.06098,0.01238,0.15278,0.02941
causal_event_graph_credit,0.18000,8,576,0.00000,0.00000,0.06076,0.01953,0.06424,0.02004,0.00000,0.00000,0.07873,0.01799,0.00000,0.00000,0.00000,0.00000,0.14757,0.02899,0.14780,0.02914,0.00931,0.00192,0.03869,0.00763,-0.05953,0.01231,0.14757,0.02899
causal_event_graph_credit,0.18000,9,576,0.00000,0.00000,0.05208,0.01816,0.05035,0.01787,0.00000,0.00000,0.08273,0.01874,0.00000,0.00000,0.00000,0.00000,0.14931,0.02913,0.14765,0.02890,0.00944,0.00194,0.04045,0.00793,-0.06121,0.01262,0.14931,0.02913
