case_id,task,regime,proposed_success,strongest_baseline,baseline_success,success_gap,proposed_credit_f1,proposed_irreversible_side_effect,lesson
1,cluttered_retrieval,long_delayed_outcome,0.5952,pseudo_reward_td_relabeling,0.5816,0.0136,0.5246,0.0527,reward-free temporal credit helps least when credit is immediate or a pseudo-reward baseline can relabel the outcome without confounding
2,cluttered_retrieval,immediate_contact_outcome,0.682,pseudo_reward_td_relabeling,0.665,0.017,0.5125,0.0323,reward-free temporal credit helps least when credit is immediate or a pseudo-reward baseline can relabel the outcome without confounding
3,multi_step_assembly,compensatory_action_masking,0.5578,pseudo_reward_td_relabeling,0.5238,0.034,0.516,0.0425,reward-free temporal credit helps least when credit is immediate or a pseudo-reward baseline can relabel the outcome without confounding
4,tool_mediated_manipulation,irreversible_side_effect,0.5952,pseudo_reward_td_relabeling,0.5578,0.0374,0.5262,0.0544,reward-free temporal credit helps least when credit is immediate or a pseudo-reward baseline can relabel the outcome without confounding
5,drawer_door_unlatching,immediate_contact_outcome,0.7024,pseudo_reward_td_relabeling,0.6582,0.0442,0.5212,0.0476,reward-free temporal credit helps least when credit is immediate or a pseudo-reward baseline can relabel the outcome without confounding
6,peg_in_hole_preparation,hidden_precondition,0.5765,pseudo_reward_td_relabeling,0.5289,0.0476,0.521,0.0408,reward-free temporal credit helps least when credit is immediate or a pseudo-reward baseline can relabel the outcome without confounding
7,peg_in_hole_preparation,immediate_contact_outcome,0.6905,pseudo_reward_td_relabeling,0.619,0.0714,0.5086,0.0476,reward-free temporal credit helps least when credit is immediate or a pseudo-reward baseline can relabel the outcome without confounding
8,cluttered_retrieval,compensatory_action_masking,0.6071,pseudo_reward_td_relabeling,0.5306,0.0765,0.5204,0.0527,reward-free temporal credit helps least when credit is immediate or a pseudo-reward baseline can relabel the outcome without confounding
