ablation,rows,success,ci95_success,credit_f1,ci95_credit_f1,delayed_blame_f1,ci95_delayed_blame_f1,false_credit,ci95_false_credit,missed_credit,ci95_missed_credit,irreversible_side_effect,ci95_irreversible_side_effect,wasted_action_rate,ci95_wasted_action_rate,early_correction,ci95_early_correction,correction_latency,ci95_correction_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility,interpretation
full_risk_calibrated_temporal_credit_v5,10,0.85642,0.00638,0.59870,0.00937,0.61823,0.00775,0.00200,0.00072,0.14002,0.00581,0.00234,0.00080,0.03160,0.00216,0.52240,0.00576,0.50797,0.00024,0.00256,0.00001,0.07720,0.00024,0.68051,0.00843,all components
no_compensatory_action_masking,10,0.75460,0.00686,0.51562,0.00936,0.51970,0.00957,0.05530,0.00422,0.17214,0.00489,0.00538,0.00172,0.09453,0.00523,0.45139,0.01075,0.55782,0.00028,0.00622,0.00004,0.17272,0.00027,0.49048,0.01037,does not discount actions that hide earlier mistakes
no_confidence_gated_correction,10,0.78247,0.00389,0.56128,0.00548,0.58802,0.00849,0.00174,0.00105,0.17743,0.00770,0.04809,0.00405,0.09861,0.00786,0.30955,0.00727,0.58612,0.00022,0.00652,0.00004,0.15099,0.00031,0.49077,0.00772,diagnoses credit but does not gate corrections
no_counterfactual_prefix_tests,10,0.76710,0.00946,0.46528,0.00793,0.55634,0.00642,0.00339,0.00069,0.21970,0.00762,0.00217,0.00099,0.08481,0.00435,0.46658,0.01111,0.56738,0.00029,0.00419,0.00003,0.16675,0.00026,0.51612,0.01113,removes prefix-level counterfactual tests
no_delayed_eligibility_memory,10,0.73863,0.00687,0.54262,0.00884,0.37595,0.00737,0.00313,0.00081,0.23715,0.01041,0.00530,0.00144,0.07109,0.00278,0.41997,0.00722,0.70891,0.00016,0.00568,0.00002,0.19439,0.00019,0.46274,0.00657,forgets long-delayed action eligibility
no_false_credit_suppression,10,0.80538,0.00676,0.56641,0.00985,0.59366,0.00840,0.08012,0.00470,0.16215,0.00929,0.00330,0.00107,0.04965,0.00316,0.48030,0.01351,0.54368,0.00023,0.01126,0.00004,0.13612,0.00027,0.56502,0.00883,removes false-credit suppression
no_physical_precondition_graph,10,0.75833,0.00616,0.48828,0.00795,0.49965,0.00790,0.00868,0.00172,0.21788,0.00661,0.00477,0.00178,0.09193,0.00293,0.44497,0.00846,0.62605,0.00018,0.00566,0.00003,0.17922,0.00032,0.48879,0.00810,removes latent physical precondition graph
no_risk_calibration,10,0.79844,0.00400,0.57361,0.00848,0.58481,0.01013,0.01207,0.00200,0.16328,0.00527,0.02057,0.00192,0.04757,0.00474,0.49036,0.01062,0.53697,0.00030,0.11298,0.00008,0.13099,0.00016,0.56599,0.00416,removes risk calibration
pseudo_reward_td_only,10,0.63073,0.01083,0.36345,0.00962,0.39931,0.01193,0.12700,0.00536,0.30781,0.00845,0.06172,0.00604,0.16398,0.00955,0.33394,0.00795,0.71254,0.00022,0.08325,0.00006,0.29795,0.00019,0.13527,0.02069,strong pseudo-reward reference
v4_temporal_credit_rules,10,0.75313,0.00772,0.51111,0.00981,0.51641,0.01153,0.03750,0.00375,0.20616,0.00790,0.01658,0.00255,0.07639,0.00579,0.43741,0.00555,0.59368,0.00022,0.03778,0.00005,0.18201,0.00022,0.47293,0.00865,prior v4 rule proxy
