method,risk_budget,rows,success,ci95_success,credit_f1,ci95_credit_f1,delayed_blame_f1,ci95_delayed_blame_f1,false_credit,ci95_false_credit,missed_credit,ci95_missed_credit,irreversible_side_effect,ci95_irreversible_side_effect,wasted_action_rate,ci95_wasted_action_rate,early_correction,ci95_early_correction,correction_latency,ci95_correction_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility,covered,ci95_covered
object_state_change_attribution,0.36000,10,0.38646,0.01070,0.26128,0.01048,0.24358,0.00684,0.07049,0.00530,0.19752,0.01191,0.03333,0.00328,0.08594,0.00673,0.24635,0.00955,0.48160,0.00485,0.04634,0.00049,0.19501,0.00183,0.09102,0.01070,0.66163,0.00547
oracle_event_credit_labels,0.18000,10,0.93142,0.00525,0.64253,0.01225,0.66528,0.01747,0.00191,0.00061,0.10990,0.00830,0.00208,0.00132,0.00191,0.00118,0.56024,0.01554,0.46736,0.00027,0.00200,0.00000,0.00000,0.00000,0.79694,0.00726,1.00000,0.00000
oracle_event_credit_labels,0.24000,10,0.93924,0.00532,0.64549,0.01428,0.67483,0.00945,0.00174,0.00101,0.10764,0.00451,0.00156,0.00079,0.00208,0.00085,0.55417,0.01314,0.46752,0.00042,0.00200,0.00000,0.00000,0.00000,0.80622,0.00583,1.00000,0.00000
oracle_event_credit_labels,0.30000,10,0.93177,0.00646,0.65503,0.01573,0.66979,0.01119,0.00226,0.00169,0.10972,0.00551,0.00174,0.00088,0.00330,0.00129,0.55729,0.01181,0.46744,0.00023,0.00200,0.00000,0.00000,0.00000,0.79670,0.00669,1.00000,0.00000
oracle_event_credit_labels,0.36000,10,0.93507,0.00495,0.63681,0.00925,0.66424,0.01910,0.00226,0.00102,0.10920,0.01020,0.00139,0.00085,0.00191,0.00094,0.55903,0.01078,0.46732,0.00023,0.00200,0.00000,0.00000,0.00000,0.80148,0.00554,1.00000,0.00000
proposed_reward_free_temporal_credit_v4,0.18000,10,0.34253,0.00789,0.29896,0.00909,0.30503,0.01100,0.01302,0.00363,0.14128,0.00596,0.00851,0.00338,0.03420,0.00500,0.34566,0.01675,0.38848,0.00848,0.02240,0.00054,0.11033,0.00200,0.17521,0.00964,0.60208,0.00982
proposed_reward_free_temporal_credit_v4,0.24000,10,0.68576,0.00749,0.46997,0.01361,0.48003,0.00554,0.04219,0.00650,0.19790,0.00557,0.01927,0.00407,0.06875,0.00588,0.41944,0.01232,0.55930,0.00307,0.04032,0.00027,0.17404,0.00069,0.41469,0.01083,0.93108,0.00329
proposed_reward_free_temporal_credit_v4,0.30000,10,0.74358,0.01069,0.49062,0.01573,0.50365,0.01395,0.05122,0.00431,0.20615,0.00966,0.01840,0.00359,0.08715,0.00450,0.43038,0.01270,0.60093,0.00129,0.04480,0.00012,0.18449,0.00043,0.44646,0.01211,0.99479,0.00134
proposed_reward_free_temporal_credit_v4,0.36000,10,0.75347,0.01200,0.49757,0.01113,0.50226,0.01245,0.04392,0.00333,0.21024,0.01011,0.01962,0.00390,0.08819,0.00617,0.44410,0.01199,0.60484,0.00032,0.04519,0.00009,0.18521,0.00050,0.45544,0.01366,1.00000,0.00000
pseudo_reward_td_relabeling,0.18000,10,0.00000,0.00000,0.03559,0.00603,0.03611,0.00382,0.00000,0.00000,0.05143,0.00581,0.00000,0.00000,0.00000,0.00000,0.09375,0.00739,0.09567,0.00716,0.00847,0.00060,0.02864,0.00214,-0.03899,0.00362,0.09375,0.00739
pseudo_reward_td_relabeling,0.24000,10,0.00000,0.00000,0.03542,0.00532,0.03333,0.00362,0.00000,0.00000,0.05204,0.00345,0.00000,0.00000,0.00000,0.00000,0.09097,0.00611,0.09318,0.00617,0.00826,0.00053,0.02770,0.00190,-0.03879,0.00246,0.09097,0.00611
pseudo_reward_td_relabeling,0.30000,10,0.00538,0.00147,0.03559,0.00679,0.04149,0.00618,0.00122,0.00089,0.05367,0.00514,0.00035,0.00045,0.00139,0.00111,0.09948,0.01140,0.10414,0.01208,0.00933,0.00111,0.03193,0.00369,-0.03798,0.00409,0.10556,0.01202
pseudo_reward_td_relabeling,0.36000,10,0.18681,0.00660,0.11927,0.00677,0.13559,0.00649,0.03628,0.00298,0.11240,0.00756,0.01806,0.00400,0.04080,0.00356,0.17170,0.00798,0.26374,0.00671,0.02688,0.00068,0.10229,0.00222,0.02733,0.00595,0.35590,0.00708
risk_calibrated_temporal_credit_v5,0.18000,10,0.86059,0.00913,0.58021,0.01687,0.61354,0.01806,0.00295,0.00209,0.15451,0.00941,0.00174,0.00134,0.02726,0.00445,0.52326,0.01071,0.51814,0.00025,0.00312,0.00003,0.07703,0.00027,0.67982,0.01271,1.00000,0.00000
risk_calibrated_temporal_credit_v5,0.24000,10,0.85833,0.01112,0.58247,0.01385,0.61163,0.01165,0.00139,0.00085,0.14948,0.00800,0.00208,0.00068,0.02986,0.00304,0.51215,0.00965,0.51789,0.00040,0.00312,0.00002,0.07704,0.00025,0.67847,0.01042,1.00000,0.00000
risk_calibrated_temporal_credit_v5,0.30000,10,0.85972,0.01031,0.58021,0.01152,0.61667,0.01135,0.00174,0.00124,0.14826,0.01094,0.00156,0.00079,0.03160,0.00436,0.51128,0.01535,0.51809,0.00038,0.00316,0.00003,0.07682,0.00028,0.67966,0.01134,1.00000,0.00000
risk_calibrated_temporal_credit_v5,0.36000,10,0.85573,0.01098,0.58142,0.01739,0.61319,0.01091,0.00295,0.00203,0.15313,0.00745,0.00139,0.00142,0.02917,0.00486,0.51858,0.01049,0.51818,0.00031,0.00312,0.00003,0.07706,0.00023,0.67473,0.01375,1.00000,0.00000
sequence_contrastive_credit,0.18000,10,0.00000,0.00000,0.03403,0.00487,0.02708,0.00484,0.00000,0.00000,0.04743,0.00405,0.00000,0.00000,0.00000,0.00000,0.08715,0.00536,0.09399,0.00584,0.00739,0.00047,0.02856,0.00175,-0.03668,0.00257,0.08715,0.00536
sequence_contrastive_credit,0.24000,10,0.00000,0.00000,0.03767,0.00656,0.03264,0.00612,0.00000,0.00000,0.05496,0.00533,0.00000,0.00000,0.00000,0.00000,0.09479,0.01062,0.10222,0.01124,0.00818,0.00088,0.03123,0.00348,-0.04132,0.00416,0.09479,0.01062
sequence_contrastive_credit,0.30000,10,0.00625,0.00177,0.03906,0.00616,0.03299,0.00563,0.00069,0.00104,0.04676,0.00452,0.00035,0.00045,0.00122,0.00073,0.08698,0.00817,0.09757,0.00923,0.00765,0.00078,0.03022,0.00276,-0.03230,0.00280,0.09340,0.00855
sequence_contrastive_credit,0.36000,10,0.15764,0.00619,0.12500,0.00609,0.10226,0.00620,0.02882,0.00431,0.11227,0.00687,0.01875,0.00408,0.04063,0.00671,0.15434,0.00724,0.26394,0.00791,0.02302,0.00067,0.10211,0.00261,0.00247,0.01110,0.33021,0.00736
temporal_difference_world_model,0.18000,10,0.00000,0.00000,0.05556,0.00542,0.07083,0.00975,0.00000,0.00000,0.07821,0.00639,0.00000,0.00000,0.00000,0.00000,0.14479,0.01339,0.14046,0.01252,0.00953,0.00089,0.03655,0.00340,-0.05855,0.00479,0.14479,0.01339
temporal_difference_world_model,0.24000,10,0.06198,0.00607,0.09427,0.00471,0.10330,0.00437,0.00729,0.00247,0.08862,0.00579,0.00503,0.00179,0.00868,0.00238,0.17257,0.00671,0.18696,0.00630,0.01247,0.00042,0.05520,0.00167,-0.02444,0.00541,0.22760,0.00715
temporal_difference_world_model,0.30000,10,0.35955,0.00947,0.26024,0.00709,0.26979,0.01225,0.04583,0.00572,0.16584,0.00705,0.02674,0.00250,0.05694,0.00553,0.27691,0.00840,0.41350,0.00772,0.03398,0.00066,0.15011,0.00241,0.12391,0.00863,0.61128,0.00962
temporal_difference_world_model,0.36000,10,0.61771,0.01206,0.38542,0.01204,0.42483,0.01383,0.08472,0.00536,0.24146,0.01157,0.04427,0.00330,0.11875,0.00952,0.36788,0.00884,0.61101,0.00220,0.05793,0.00017,0.23333,0.00064,0.23520,0.01674,0.92396,0.00208
transformer_attention_attribution,0.18000,10,0.00000,0.00000,0.01458,0.00265,0.01354,0.00299,0.00000,0.00000,0.02593,0.00305,0.00000,0.00000,0.00000,0.00000,0.04410,0.00446,0.05022,0.00495,0.00472,0.00047,0.01697,0.00171,-0.01981,0.00209,0.04410,0.00446
transformer_attention_attribution,0.24000,10,0.00000,0.00000,0.01406,0.00357,0.01250,0.00242,0.00000,0.00000,0.02722,0.00379,0.00000,0.00000,0.00000,0.00000,0.04618,0.00495,0.05304,0.00566,0.00502,0.00052,0.01780,0.00186,-0.02085,0.00256,0.04618,0.00495
transformer_attention_attribution,0.30000,10,0.00000,0.00000,0.01580,0.00235,0.00955,0.00185,0.00000,0.00000,0.02330,0.00309,0.00000,0.00000,0.00000,0.00000,0.04271,0.00410,0.04845,0.00469,0.00459,0.00043,0.01639,0.00152,-0.01840,0.00207,0.04271,0.00410
transformer_attention_attribution,0.36000,10,0.00017,0.00034,0.01285,0.00210,0.01302,0.00265,0.00000,0.00000,0.02622,0.00403,0.00000,0.00000,0.00000,0.00000,0.04444,0.00463,0.05074,0.00499,0.00476,0.00050,0.01715,0.00173,-0.01985,0.00269,0.04462,0.00442
