method,risk_budget,rows,success,ci95_success,credit_f1,ci95_credit_f1,delayed_blame_f1,ci95_delayed_blame_f1,false_credit,ci95_false_credit,missed_credit,ci95_missed_credit,irreversible_side_effect,ci95_irreversible_side_effect,wasted_action_rate,ci95_wasted_action_rate,early_correction,ci95_early_correction,correction_latency,ci95_correction_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility,covered,ci95_covered
causal_event_graph_credit,0.18000,10,0.00000,0.00000,0.05937,0.00507,0.05816,0.00434,0.00000,0.00000,0.07802,0.00470,0.00000,0.00000,0.00000,0.00000,0.14392,0.00814,0.14382,0.00784,0.00919,0.00056,0.03840,0.00224,-0.05853,0.00332,0.14392,0.00814
causal_event_graph_credit,0.24000,10,0.05312,0.00547,0.09427,0.00899,0.08767,0.00886,0.00625,0.00204,0.08796,0.00582,0.00295,0.00125,0.00729,0.00167,0.16042,0.00858,0.18228,0.01074,0.01142,0.00068,0.05433,0.00314,-0.02763,0.00403,0.21198,0.01215
causal_event_graph_credit,0.30000,10,0.33420,0.01311,0.24514,0.01108,0.23385,0.01001,0.04201,0.00376,0.16042,0.01057,0.02083,0.00445,0.06198,0.00596,0.25990,0.01596,0.40731,0.00438,0.03071,0.00040,0.14875,0.00135,0.10963,0.01595,0.57587,0.00487
causal_event_graph_credit,0.36000,10,0.60330,0.00848,0.37865,0.01424,0.36250,0.01253,0.08941,0.00798,0.24924,0.01021,0.04219,0.00726,0.11146,0.00582,0.33663,0.00711,0.62773,0.00542,0.05541,0.00056,0.24194,0.00170,0.22260,0.01587,0.90885,0.00592
counterfactual_prefix_search,0.18000,10,0.00104,0.00104,0.07899,0.00749,0.06580,0.00518,0.00000,0.00000,0.08793,0.00363,0.00017,0.00034,0.00000,0.00000,0.16806,0.00740,0.16718,0.00658,0.00971,0.00049,0.04216,0.00191,-0.06649,0.00238,0.16962,0.00733
counterfactual_prefix_search,0.24000,10,0.16823,0.00915,0.17951,0.01003,0.16545,0.00754,0.01545,0.00289,0.12888,0.00473,0.01042,0.00304,0.02431,0.00369,0.23021,0.00758,0.29301,0.00478,0.01772,0.00027,0.09162,0.00117,0.02537,0.01065,0.38125,0.00530
counterfactual_prefix_search,0.30000,10,0.48576,0.01331,0.36615,0.01258,0.33056,0.00951,0.05017,0.00538,0.20727,0.01243,0.02986,0.00459,0.07830,0.00785,0.32309,0.01375,0.53373,0.00631,0.04021,0.00055,0.19185,0.00163,0.19142,0.02181,0.77656,0.00721
counterfactual_prefix_search,0.36000,10,0.64844,0.01330,0.43941,0.01277,0.40538,0.01369,0.07569,0.00658,0.24385,0.00659,0.04427,0.00434,0.10243,0.00607,0.36719,0.01556,0.65420,0.00282,0.05413,0.00021,0.23955,0.00060,0.27219,0.01617,0.95816,0.00229
diffusion_policy_credit_probe,0.18000,10,0.00000,0.00000,0.04462,0.00679,0.03628,0.00353,0.00000,0.00000,0.05390,0.00557,0.00000,0.00000,0.00000,0.00000,0.10208,0.00938,0.10550,0.00965,0.00876,0.00078,0.03003,0.00275,-0.04185,0.00396,0.10208,0.00938
diffusion_policy_credit_probe,0.24000,10,0.00000,0.00000,0.04236,0.00535,0.03785,0.00496,0.00000,0.00000,0.05740,0.00413,0.00000,0.00000,0.00000,0.00000,0.10694,0.00705,0.11063,0.00738,0.00924,0.00068,0.03151,0.00219,-0.04426,0.00302,0.10694,0.00705
diffusion_policy_credit_probe,0.30000,10,0.09878,0.00566,0.10851,0.00477,0.09392,0.00410,0.01319,0.00403,0.09058,0.00474,0.00729,0.00159,0.01719,0.00349,0.15000,0.01174,0.20165,0.00710,0.01784,0.00061,0.06958,0.00201,-0.00196,0.00674,0.25017,0.00687
diffusion_policy_credit_probe,0.36000,10,0.39115,0.00505,0.27899,0.00900,0.24288,0.01056,0.06372,0.00497,0.19217,0.01460,0.03785,0.00386,0.08038,0.00684,0.25295,0.01104,0.47863,0.00659,0.05096,0.00070,0.18962,0.00208,0.09715,0.01050,0.66076,0.00714
inverse_dynamics_saliency,0.18000,10,0.00000,0.00000,0.00712,0.00129,0.00556,0.00253,0.00000,0.00000,0.01602,0.00406,0.00000,0.00000,0.00000,0.00000,0.02674,0.00528,0.03177,0.00636,0.00330,0.00066,0.01152,0.00230,-0.01231,0.00280,0.02674,0.00528
inverse_dynamics_saliency,0.24000,10,0.00000,0.00000,0.00729,0.00247,0.00694,0.00221,0.00000,0.00000,0.01839,0.00321,0.00000,0.00000,0.00000,0.00000,0.02899,0.00479,0.03439,0.00574,0.00362,0.00063,0.01255,0.00210,-0.01377,0.00235,0.02899,0.00479
inverse_dynamics_saliency,0.30000,10,0.00000,0.00000,0.00712,0.00302,0.00538,0.00256,0.00000,0.00000,0.01536,0.00395,0.00000,0.00000,0.00000,0.00000,0.02552,0.00681,0.03016,0.00801,0.00320,0.00088,0.01110,0.00297,-0.01177,0.00305,0.02552,0.00681
inverse_dynamics_saliency,0.36000,10,0.00000,0.00000,0.00729,0.00132,0.00642,0.00259,0.00000,0.00000,0.01746,0.00410,0.00000,0.00000,0.00000,0.00000,0.02795,0.00513,0.03340,0.00623,0.00347,0.00066,0.01211,0.00228,-0.01320,0.00280,0.02795,0.00513
object_state_change_attribution,0.18000,10,0.00000,0.00000,0.03715,0.00479,0.03750,0.00337,0.00000,0.00000,0.05688,0.00376,0.00000,0.00000,0.00000,0.00000,0.10156,0.00685,0.10558,0.00700,0.00809,0.00047,0.03071,0.00205,-0.04265,0.00276,0.10156,0.00685
object_state_change_attribution,0.24000,10,0.00000,0.00000,0.04288,0.00442,0.04010,0.00649,0.00000,0.00000,0.05745,0.00295,0.00000,0.00000,0.00000,0.00000,0.10868,0.00642,0.11266,0.00670,0.00846,0.00055,0.03297,0.00192,-0.04414,0.00236,0.10885,0.00628
object_state_change_attribution,0.30000,10,0.09983,0.00561,0.10052,0.00845,0.09462,0.00703,0.01684,0.00352,0.08749,0.00629,0.00712,0.00224,0.02309,0.00380,0.14080,0.01069,0.19774,0.01073,0.01572,0.00089,0.07042,0.00343,-0.00301,0.01062,0.24688,0.01154
