method,seed,rows,success,ci95_success,credit_f1,ci95_credit_f1,delayed_blame_f1,ci95_delayed_blame_f1,false_credit,ci95_false_credit,missed_credit,ci95_missed_credit,irreversible_side_effect,ci95_irreversible_side_effect,wasted_action_rate,ci95_wasted_action_rate,early_correction,ci95_early_correction,correction_latency,ci95_correction_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility
behavior_clone_no_credit,0,192,0.34722,0.02602,0.08767,0.01466,0.04774,0.01221,0.24566,0.02483,0.51997,0.02825,0.16146,0.02170,0.31597,0.02642,0.11024,0.01876,1.01139,0.01044,0.16302,0.00264,0.58264,0.00726,-0.53945,0.04202
behavior_clone_no_credit,1,192,0.35243,0.02790,0.08941,0.01686,0.06858,0.01641,0.25087,0.02587,0.51128,0.02654,0.17622,0.02213,0.31510,0.02701,0.08507,0.01600,1.01090,0.01039,0.16279,0.00263,0.58319,0.00728,-0.54869,0.04653
behavior_clone_no_credit,2,192,0.33681,0.02964,0.07986,0.01599,0.05816,0.01317,0.25174,0.02495,0.51562,0.03034,0.13628,0.01842,0.31076,0.02887,0.10156,0.01737,1.01017,0.01049,0.16301,0.00263,0.58267,0.00723,-0.51985,0.05048
behavior_clone_no_credit,3,192,0.35156,0.02868,0.08681,0.01688,0.03559,0.01082,0.25868,0.02694,0.50694,0.02770,0.14931,0.01974,0.30469,0.02736,0.10156,0.01770,1.01077,0.01048,0.16272,0.00261,0.58258,0.00734,-0.51540,0.04527
behavior_clone_no_credit,4,192,0.36719,0.02809,0.08073,0.01756,0.06163,0.01570,0.23785,0.02724,0.51649,0.03113,0.14323,0.02111,0.34028,0.02641,0.09201,0.01801,1.01055,0.01038,0.16304,0.00261,0.58344,0.00729,-0.50916,0.04738
behavior_clone_no_credit,5,192,0.35503,0.02843,0.08507,0.01563,0.05295,0.01423,0.25174,0.02675,0.52170,0.03069,0.13889,0.02023,0.32378,0.02667,0.09896,0.01639,1.01181,0.01050,0.16286,0.00262,0.58345,0.00730,-0.51536,0.04496
behavior_clone_no_credit,6,192,0.35677,0.02891,0.10938,0.01832,0.04861,0.01273,0.26215,0.02615,0.50521,0.02781,0.15712,0.02064,0.31076,0.02590,0.10938,0.01665,1.01059,0.01043,0.16297,0.00264,0.58357,0.00728,-0.52349,0.04503
behavior_clone_no_credit,7,192,0.35590,0.02634,0.06858,0.01492,0.05208,0.01357,0.24740,0.02675,0.54601,0.02731,0.14844,0.02052,0.30035,0.02678,0.10938,0.01734,1.01011,0.01047,0.16289,0.00262,0.58277,0.00734,-0.51832,0.04263
behavior_clone_no_credit,8,192,0.34115,0.02499,0.08420,0.01636,0.06076,0.01432,0.26128,0.02455,0.51823,0.02712,0.13542,0.02013,0.34201,0.02727,0.09983,0.01741,1.01074,0.01037,0.16280,0.00263,0.58374,0.00731,-0.53968,0.04175
behavior_clone_no_credit,9,192,0.36111,0.02868,0.08160,0.01526,0.04774,0.01221,0.26389,0.02635,0.53212,0.03060,0.16146,0.02262,0.32292,0.02830,0.09288,0.01666,1.01078,0.01049,0.16271,0.00262,0.58265,0.00727,-0.54360,0.04729
causal_event_graph_credit,0,192,0.67448,0.02679,0.44705,0.02842,0.40885,0.02801,0.08333,0.01654,0.26302,0.02734,0.05122,0.01286,0.13281,0.01953,0.35069,0.02664,0.68696,0.01023,0.05595,0.00262,0.26027,0.00277,0.25694,0.03528
causal_event_graph_credit,1,192,0.68576,0.02790,0.43837,0.02796,0.40972,0.02923,0.07552,0.01578,0.24566,0.02575,0.03906,0.01137,0.11024,0.01861,0.34809,0.02831,0.68651,0.01023,0.05623,0.00264,0.26033,0.00272,0.30668,0.03537
causal_event_graph_credit,2,192,0.64757,0.02892,0.46354,0.03065,0.39931,0.02884,0.08247,0.01618,0.26389,0.02679,0.05208,0.01378,0.12500,0.01930,0.36632,0.02678,0.68674,0.01037,0.05596,0.00261,0.26063,0.00283,0.23401,0.03761
causal_event_graph_credit,3,192,0.65712,0.02623,0.45660,0.02859,0.39931,0.02884,0.07986,0.01506,0.24913,0.02654,0.04688,0.01192,0.14583,0.02068,0.39410,0.02897,0.68688,0.01030,0.05607,0.00262,0.26005,0.00278,0.24378,0.03639
causal_event_graph_credit,4,192,0.68837,0.02685,0.42708,0.02931,0.42795,0.02989,0.07292,0.01612,0.28559,0.02616,0.04080,0.01151,0.13194,0.01912,0.37760,0.02790,0.68673,0.01037,0.05614,0.00262,0.26095,0.00279,0.27837,0.03561
causal_event_graph_credit,5,192,0.64757,0.02758,0.44878,0.02647,0.41753,0.02844,0.07552,0.01559,0.26562,0.02622,0.03993,0.01118,0.12934,0.01940,0.34983,0.02627,0.68741,0.01038,0.05610,0.00263,0.25998,0.00282,0.24717,0.03447
causal_event_graph_credit,6,192,0.67535,0.02684,0.41146,0.03012,0.40972,0.02780,0.08767,0.01617,0.26128,0.02605,0.04601,0.01211,0.11979,0.01951,0.36892,0.02688,0.68666,0.01036,0.05610,0.00263,0.25992,0.00287,0.27029,0.03581
causal_event_graph_credit,7,192,0.63194,0.02780,0.43924,0.02678,0.39323,0.02995,0.08854,0.01599,0.26997,0.02881,0.05122,0.01331,0.11545,0.02067,0.38108,0.02951,0.68696,0.01039,0.05618,0.00262,0.26008,0.00275,0.21973,0.03591
