method,seed,rows,success,ci95_success,credit_f1,ci95_credit_f1,delayed_blame_f1,ci95_delayed_blame_f1,false_credit,ci95_false_credit,missed_credit,ci95_missed_credit,irreversible_side_effect,ci95_irreversible_side_effect,wasted_action_rate,ci95_wasted_action_rate,early_correction,ci95_early_correction,correction_latency,ci95_correction_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility
causal_event_graph_credit,8,192,0.66493,0.02824,0.43490,0.02563,0.39583,0.02777,0.09288,0.01613,0.26476,0.02567,0.04774,0.01197,0.12674,0.02204,0.35156,0.02775,0.68744,0.01029,0.05597,0.00261,0.26105,0.00277,0.24959,0.03379
causal_event_graph_credit,9,192,0.66667,0.02751,0.44097,0.03061,0.41406,0.02771,0.07118,0.01457,0.24826,0.02495,0.04514,0.01156,0.12326,0.01922,0.36719,0.02979,0.68733,0.01042,0.05584,0.00263,0.26042,0.00270,0.27371,0.03677
counterfactual_prefix_search,0,192,0.68229,0.02742,0.45920,0.02912,0.39149,0.02832,0.05903,0.01320,0.25955,0.02606,0.04774,0.01221,0.11632,0.01825,0.38715,0.03032,0.67690,0.01029,0.05030,0.00262,0.24481,0.00256,0.29098,0.03708
counterfactual_prefix_search,1,192,0.68576,0.02872,0.47309,0.02935,0.43837,0.02690,0.07552,0.01522,0.23090,0.02311,0.05035,0.01259,0.10677,0.02034,0.38542,0.02840,0.67676,0.01037,0.05034,0.00262,0.24451,0.00251,0.30165,0.03542
counterfactual_prefix_search,2,192,0.69705,0.02557,0.46528,0.02953,0.43750,0.02648,0.06944,0.01694,0.25434,0.02739,0.04427,0.01200,0.11892,0.01939,0.38455,0.03046,0.67641,0.01027,0.05013,0.00262,0.24433,0.00251,0.30523,0.03366
counterfactual_prefix_search,3,192,0.68924,0.02937,0.46354,0.02680,0.43924,0.02927,0.06771,0.01471,0.24045,0.02549,0.04167,0.01299,0.09983,0.01637,0.37240,0.02826,0.67712,0.01037,0.05033,0.00263,0.24369,0.00257,0.31866,0.03672
counterfactual_prefix_search,4,192,0.67622,0.02532,0.45226,0.02971,0.42014,0.02782,0.07552,0.01522,0.24826,0.02507,0.04427,0.01200,0.10677,0.01807,0.37587,0.02785,0.67641,0.01034,0.05029,0.00261,0.24487,0.00245,0.29155,0.03208
counterfactual_prefix_search,5,192,0.68924,0.02764,0.47396,0.02931,0.41840,0.02925,0.06510,0.01404,0.25521,0.02529,0.03472,0.01074,0.11979,0.01796,0.38021,0.02797,0.67629,0.01043,0.05024,0.00262,0.24404,0.00245,0.30911,0.03348
counterfactual_prefix_search,6,192,0.67622,0.02645,0.45920,0.02862,0.42795,0.02840,0.06163,0.01351,0.23177,0.02222,0.04514,0.01130,0.10590,0.01918,0.36111,0.02837,0.67588,0.01028,0.05035,0.00260,0.24400,0.00250,0.30481,0.03374
counterfactual_prefix_search,7,192,0.66753,0.02745,0.44965,0.03006,0.43924,0.02721,0.07292,0.01480,0.26215,0.02702,0.04167,0.01206,0.11979,0.01890,0.34983,0.02660,0.67652,0.01028,0.05013,0.00263,0.24404,0.00242,0.27307,0.03403
counterfactual_prefix_search,8,192,0.68229,0.02784,0.48524,0.02705,0.44097,0.03108,0.07552,0.01522,0.28125,0.02861,0.04861,0.01318,0.12066,0.01840,0.37153,0.02792,0.67638,0.01039,0.05024,0.00263,0.24537,0.00248,0.27040,0.03778
counterfactual_prefix_search,9,192,0.67708,0.02830,0.46962,0.02668,0.41753,0.02885,0.06858,0.01472,0.24045,0.02538,0.04253,0.01163,0.11719,0.01838,0.38021,0.02734,0.67707,0.01032,0.05018,0.00262,0.24398,0.00254,0.29439,0.03475
diffusion_policy_credit_probe,0,192,0.64236,0.03061,0.43056,0.02958,0.34288,0.02856,0.10503,0.01827,0.27951,0.02719,0.05382,0.01253,0.13628,0.02037,0.33767,0.02919,0.72425,0.01031,0.07856,0.00261,0.28752,0.00298,0.19269,0.03773
diffusion_policy_credit_probe,1,192,0.64931,0.02686,0.40451,0.02818,0.38368,0.02753,0.10330,0.01716,0.26476,0.02556,0.07031,0.01330,0.14323,0.01998,0.35938,0.02758,0.72402,0.01027,0.07849,0.00262,0.28793,0.00295,0.18426,0.03690
diffusion_policy_credit_probe,2,192,0.63628,0.02613,0.40972,0.02706,0.36111,0.02948,0.10069,0.01688,0.27865,0.02633,0.05382,0.01321,0.16146,0.02143,0.34028,0.02801,0.72356,0.01040,0.07840,0.00260,0.28775,0.00307,0.17357,0.03756
diffusion_policy_credit_probe,3,192,0.62326,0.02808,0.42101,0.02771,0.37240,0.03035,0.11198,0.01775,0.27517,0.02551,0.05295,0.01249,0.15799,0.02181,0.33681,0.02707,0.72399,0.01027,0.07845,0.00261,0.28723,0.00315,0.15963,0.03672
diffusion_policy_credit_probe,4,192,0.65799,0.02684,0.41580,0.02782,0.37934,0.03025,0.09722,0.01858,0.29340,0.02692,0.06510,0.01504,0.14844,0.02052,0.34288,0.02623,0.72451,0.01034,0.07840,0.00263,0.28858,0.00306,0.18625,0.03645
diffusion_policy_credit_probe,5,192,0.64757,0.02892,0.39670,0.02736,0.37153,0.02609,0.10764,0.01821,0.29427,0.02816,0.05208,0.01268,0.14236,0.01959,0.32552,0.02590,0.72387,0.01035,0.07837,0.00263,0.28772,0.00304,0.18867,0.03723
diffusion_policy_credit_probe,6,192,0.63889,0.02701,0.40799,0.02727,0.40017,0.02804,0.09809,0.01623,0.28212,0.02669,0.04948,0.01207,0.14410,0.02022,0.34722,0.02690,0.72419,0.01032,0.07852,0.00264,0.28750,0.00304,0.19140,0.03764
diffusion_policy_credit_probe,7,192,0.63976,0.02564,0.42014,0.02944,0.36719,0.02756,0.09462,0.01592,0.27951,0.02643,0.04948,0.01107,0.13889,0.01843,0.32639,0.02873,0.72334,0.01038,0.07853,0.00262,0.28802,0.00297,0.19839,0.03338
diffusion_policy_credit_probe,8,192,0.64757,0.02912,0.42274,0.02884,0.38021,0.02889,0.10764,0.01821,0.29514,0.02653,0.05208,0.01357,0.16146,0.02210,0.33507,0.02654,0.72404,0.01033,0.07852,0.00261,0.28796,0.00297,0.17642,0.03787
diffusion_policy_credit_probe,9,192,0.63976,0.02654,0.42188,0.02833,0.35677,0.02809,0.09983,0.01854,0.27951,0.02964,0.06076,0.01391,0.14583,0.02068,0.32465,0.02790,0.72433,0.01035,0.07833,0.00263,0.28766,0.00303,0.17903,0.03850
hindsight_success_relabeling,0,192,0.45660,0.03037,0.20920,0.02391,0.14931,0.02075,0.19878,0.02326,0.43576,0.02779,0.12587,0.02000,0.25521,0.02483,0.18229,0.02239,0.91806,0.01043,0.13036,0.00262,0.46940,0.00574,-0.28184,0.04415
hindsight_success_relabeling,1,192,0.46875,0.02809,0.18924,0.02007,0.13715,0.01960,0.20052,0.02295,0.41493,0.03155,0.12587,0.01880,0.26997,0.02616,0.17969,0.02102,0.91869,0.01046,0.13041,0.00260,0.46960,0.00587,-0.27103,0.04496
hindsight_success_relabeling,2,192,0.44878,0.02702,0.17361,0.02248,0.14410,0.01903,0.20573,0.02279,0.44097,0.02823,0.10938,0.01700,0.25347,0.02564,0.15538,0.02019,0.91778,0.01047,0.13037,0.00262,0.46987,0.00592,-0.27591,0.04324
hindsight_success_relabeling,3,192,0.46181,0.02813,0.20486,0.02288,0.13455,0.02143,0.21094,0.02336,0.45139,0.02923,0.11458,0.01699,0.25868,0.02584,0.17535,0.02373,0.91808,0.01041,0.13030,0.00261,0.46930,0.00587,-0.27877,0.04245
hindsight_success_relabeling,4,192,0.46875,0.03057,0.20833,0.02424,0.15885,0.02280,0.20573,0.02329,0.43663,0.02971,0.10764,0.01837,0.26389,0.02690,0.17101,0.02137,0.91869,0.01044,0.13021,0.00262,0.47094,0.00584,-0.25881,0.04581
hindsight_success_relabeling,5,192,0.43837,0.02647,0.19705,0.02121,0.15451,0.02151,0.18750,0.02269,0.41927,0.02925,0.11719,0.01990,0.26042,0.02537,0.16406,0.02068,0.91899,0.01047,0.13031,0.00261,0.47017,0.00589,-0.28155,0.04298
hindsight_success_relabeling,6,192,0.43837,0.02827,0.20226,0.02365,0.15017,0.01983,0.19878,0.02236,0.45226,0.03215,0.12587,0.01849,0.24392,0.02685,0.15365,0.02074,0.91876,0.01040,0.13045,0.00262,0.47014,0.00586,-0.30012,0.04535
hindsight_success_relabeling,7,192,0.45747,0.02917,0.21441,0.02420,0.14497,0.02073,0.20486,0.02363,0.39497,0.03026,0.10243,0.01865,0.26042,0.02583,0.17448,0.02162,0.91851,0.01043,0.13026,0.00262,0.46929,0.00582,-0.24427,0.04212
hindsight_success_relabeling,8,192,0.45573,0.02872,0.21615,0.02425,0.15451,0.02164,0.21875,0.02605,0.44010,0.02845,0.11719,0.01773,0.25781,0.02562,0.18056,0.02202,0.91818,0.01049,0.13039,0.00262,0.47030,0.00588,-0.28620,0.04157
hindsight_success_relabeling,9,192,0.44965,0.02857,0.19792,0.02193,0.15104,0.02091,0.20660,0.02524,0.43229,0.02633,0.10590,0.01777,0.27344,0.02543,0.17795,0.02172,0.91890,0.01043,0.13024,0.00261,0.46988,0.00585,-0.28054,0.04297
inverse_dynamics_saliency,0,192,0.49913,0.02787,0.27083,0.02204,0.18229,0.02119,0.17969,0.02157,0.40799,0.02705,0.10938,0.01894,0.22917,0.02559,0.20139,0.02182,0.87609,0.01039,0.11725,0.00261,0.42449,0.00503,-0.17942,0.04235
inverse_dynamics_saliency,1,192,0.51997,0.02946,0.25781,0.02311,0.20052,0.02346,0.17014,0.02157,0.41493,0.03032,0.09983,0.01724,0.23090,0.02360,0.19184,0.02280,0.87531,0.01042,0.11709,0.00260,0.42433,0.00501,-0.14736,0.03858
inverse_dynamics_saliency,2,192,0.51476,0.02912,0.25955,0.02468,0.20226,0.02173,0.20139,0.02287,0.37760,0.02962,0.11372,0.01866,0.23872,0.02809,0.21962,0.02349,0.87615,0.01039,0.11702,0.00261,0.42440,0.00494,-0.17214,0.04573
inverse_dynamics_saliency,3,192,0.52257,0.02887,0.25608,0.02494,0.19444,0.02280,0.19618,0.02542,0.39497,0.03036,0.10503,0.01660,0.21875,0.02479,0.21615,0.02621,0.87632,0.01040,0.11729,0.00259,0.42394,0.00511,-0.14724,0.04433
inverse_dynamics_saliency,4,192,0.49740,0.02626,0.26302,0.02535,0.20052,0.02321,0.19271,0.02322,0.40625,0.02747,0.10069,0.01821,0.22830,0.02658,0.19271,0.02220,0.87622,0.01034,0.11730,0.00263,0.42495,0.00500,-0.17662,0.03912
inverse_dynamics_saliency,5,192,0.50260,0.02910,0.26476,0.02689,0.19531,0.02384,0.18837,0.02261,0.36719,0.02989,0.09722,0.01677,0.24826,0.02654,0.20660,0.02256,0.87588,0.01041,0.11709,0.00262,0.42383,0.00504,-0.16141,0.04241
inverse_dynamics_saliency,6,192,0.49392,0.02997,0.24913,0.02250,0.21962,0.02349,0.16233,0.02243,0.38368,0.02711,0.10243,0.01718,0.22743,0.02403,0.19358,0.02211,0.87620,0.01031,0.11721,0.00261,0.42434,0.00496,-0.15739,0.04485
inverse_dynamics_saliency,7,192,0.49392,0.02868,0.26389,0.02452,0.18490,0.02318,0.19878,0.02184,0.39062,0.02683,0.09809,0.01825,0.21788,0.02524,0.21788,0.02344,0.87557,0.01044,0.11715,0.00264,0.42484,0.00498,-0.16700,0.04017
inverse_dynamics_saliency,8,192,0.52517,0.02657,0.26042,0.02503,0.20747,0.02154,0.16059,0.02216,0.39062,0.02901,0.09375,0.01716,0.21354,0.02332,0.20052,0.02231,0.87594,0.01041,0.11727,0.00261,0.42496,0.00508,-0.11003,0.03826
inverse_dynamics_saliency,9,192,0.51128,0.02643,0.25087,0.02460,0.21962,0.02505,0.16406,0.02204,0.41753,0.02719,0.10938,0.01863,0.23351,0.02364,0.22569,0.02375,0.87562,0.01039,0.11720,0.00260,0.42455,0.00511,-0.16639,0.03854
object_state_change_attribution,0,192,0.60330,0.02830,0.42622,0.03010,0.34288,0.02623,0.10764,0.01705,0.31076,0.02578,0.05990,0.01429,0.14670,0.02077,0.30382,0.02564,0.72798,0.01027,0.07160,0.00260,0.29622,0.00319,0.13007,0.03886
object_state_change_attribution,1,192,0.64497,0.02685,0.41667,0.02598,0.33507,0.02708,0.09028,0.01737,0.28559,0.02371,0.03733,0.01123,0.14149,0.02037,0.33767,0.02535,0.72779,0.01039,0.07145,0.00262,0.29628,0.00327,0.21874,0.03402
object_state_change_attribution,2,192,0.63542,0.02851,0.39497,0.02786,0.35677,0.02881,0.09375,0.01665,0.30469,0.02683,0.04948,0.01277,0.17448,0.02254,0.34288,0.02721,0.72741,0.01032,0.07133,0.00261,0.29608,0.00326,0.16575,0.03940
object_state_change_attribution,3,192,0.62153,0.02884,0.40712,0.02572,0.36111,0.02754,0.09983,0.01707,0.25087,0.02519,0.04861,0.01153,0.15712,0.02050,0.30469,0.02526,0.72797,0.01037,0.07156,0.00264,0.29586,0.00330,0.18316,0.03768
object_state_change_attribution,4,192,0.66319,0.02803,0.42014,0.02823,0.35851,0.02938,0.10503,0.01762,0.29601,0.02810,0.04774,0.01245,0.14323,0.02013,0.30729,0.02726,0.72762,0.01038,0.07149,0.00262,0.29688,0.00330,0.21300,0.03480
object_state_change_attribution,5,192,0.61285,0.02945,0.40104,0.02976,0.34462,0.02665,0.10503,0.01643,0.28819,0.02518,0.05469,0.01410,0.16059,0.02189,0.33941,0.02453,0.72807,0.01041,0.07142,0.00261,0.29607,0.00327,0.14746,0.04088
object_state_change_attribution,6,192,0.61892,0.02851,0.40191,0.02947,0.37587,0.02887,0.09983,0.01870,0.31944,0.02534,0.04688,0.01240,0.14583,0.02011,0.32465,0.02727,0.72788,0.01033,0.07146,0.00262,0.29653,0.00329,0.16068,0.03676
object_state_change_attribution,7,192,0.64757,0.02852,0.40712,0.02650,0.37847,0.02924,0.10938,0.01783,0.27170,0.02733,0.04861,0.01226,0.15191,0.02141,0.31597,0.02642,0.72714,0.01029,0.07121,0.00263,0.29620,0.00316,0.19926,0.03738
object_state_change_attribution,8,192,0.64670,0.02741,0.40278,0.02888,0.36285,0.02632,0.11285,0.01868,0.28299,0.02656,0.05469,0.01347,0.15451,0.02307,0.32378,0.02532,0.72750,0.01022,0.07140,0.00259,0.29627,0.00326,0.18361,0.03896
object_state_change_attribution,9,192,0.64149,0.02775,0.41840,0.03089,0.38194,0.02780,0.09896,0.01709,0.30295,0.02557,0.05816,0.01403,0.15885,0.02107,0.32812,0.02781,0.72764,0.01039,0.07140,0.00262,0.29577,0.00332,0.17015,0.03555
oracle_event_credit_labels,0,192,0.93316,0.01449,0.64931,0.02750,0.69965,0.02764,0.00260,0.00293,0.09896,0.01742,0.00087,0.00170,0.00608,0.00443,0.55469,0.02897,0.45726,0.01023,0.00200,0.00000,0.00000,0.00000,0.80330,0.01621
oracle_event_credit_labels,1,192,0.93142,0.01605,0.66406,0.02692,0.68490,0.02754,0.00260,0.00293,0.09809,0.01777,0.00174,0.00240,0.00260,0.00293,0.55295,0.02943,0.45750,0.01027,0.00200,0.00000,0.00000,0.00000,0.80309,0.01777
oracle_event_credit_labels,2,192,0.93837,0.01414,0.66319,0.02771,0.70312,0.02614,0.00087,0.00170,0.10156,0.01943,0.00087,0.00170,0.00260,0.00293,0.59635,0.02807,0.45790,0.01025,0.00200,0.00000,0.00000,0.00000,0.81030,0.01527
oracle_event_credit_labels,3,192,0.94878,0.01286,0.65104,0.02578,0.67014,0.02686,0.00174,0.00240,0.09896,0.01902,0.00174,0.00240,0.00694,0.00472,0.56510,0.02630,0.45735,0.01026,0.00200,0.00000,0.00000,0.00000,0.81784,0.01503
oracle_event_credit_labels,4,192,0.92622,0.01558,0.65365,0.02993,0.68056,0.02679,0.00434,0.00376,0.10156,0.01803,0.00347,0.00338,0.00347,0.00338,0.56424,0.02684,0.45766,0.01021,0.00200,0.00000,0.00000,0.00000,0.79312,0.01741
oracle_event_credit_labels,5,192,0.91667,0.01706,0.65625,0.02901,0.67795,0.02698,0.00347,0.00338,0.10503,0.01920,0.00347,0.00338,0.00260,0.00293,0.54167,0.02974,0.45704,0.01025,0.00200,0.00000,0.00000,0.00000,0.78317,0.01789
oracle_event_credit_labels,6,192,0.93056,0.01624,0.66059,0.02723,0.68403,0.02834,0.00260,0.00293,0.08073,0.01853,0.00521,0.00477,0.00087,0.00170,0.56337,0.02768,0.45710,0.01027,0.00201,0.00001,0.00000,0.00000,0.80684,0.01886
oracle_event_credit_labels,7,192,0.92969,0.01644,0.64670,0.02577,0.68142,0.02618,0.00087,0.00170,0.09722,0.01827,0.00347,0.00338,0.00347,0.00338,0.57118,0.02808,0.45684,0.01021,0.00200,0.00000,0.00000,0.00000,0.80021,0.01814
oracle_event_credit_labels,8,192,0.93663,0.01499,0.66059,0.02580,0.69531,0.02480,0.00347,0.00338,0.09896,0.01742,0.00087,0.00170,0.00087,0.00170,0.56163,0.02939,0.45752,0.01026,0.00200,0.00000,0.00000,0.00000,0.80955,0.01618
oracle_event_credit_labels,9,192,0.93403,0.01506,0.66146,0.02884,0.67101,0.02713,0.00260,0.00293,0.09375,0.01682,0.00174,0.00240,0.00260,0.00293,0.57726,0.02760,0.45724,0.01024,0.00200,0.00000,0.00000,0.00000,0.80756,0.01631
proposed_reward_free_temporal_credit_v4,0,192,0.73785,0.02547,0.53038,0.02967,0.53385,0.02930,0.03385,0.01066,0.21354,0.02417,0.01910,0.00861,0.09462,0.01628,0.43750,0.03028,0.59385,0.01039,0.03780,0.00261,0.18206,0.00232,0.44220,0.02895
proposed_reward_free_temporal_credit_v4,1,192,0.75868,0.02445,0.51476,0.02705,0.52517,0.03006,0.04861,0.01226,0.22135,0.02462,0.02431,0.00868,0.08594,0.01525,0.44444,0.02827,0.59316,0.01044,0.03776,0.00263,0.18211,0.00217,0.45243,0.03049
proposed_reward_free_temporal_credit_v4,2,192,0.75260,0.02507,0.50694,0.02863,0.51823,0.02786,0.03819,0.01022,0.21701,0.02415,0.01823,0.00848,0.09722,0.01795,0.45660,0.02808,0.59369,0.01026,0.03766,0.00264,0.18200,0.00229,0.45279,0.03054
proposed_reward_free_temporal_credit_v4,3,192,0.74306,0.02398,0.52865,0.03020,0.54601,0.02897,0.03299,0.01058,0.17969,0.02411,0.01823,0.00738,0.06771,0.01451,0.45486,0.02620,0.59383,0.01026,0.03772,0.00259,0.18129,0.00223,0.47969,0.03068
proposed_reward_free_temporal_credit_v4,4,192,0.76476,0.02475,0.51562,0.02866,0.52951,0.02885,0.03472,0.01127,0.22309,0.02478,0.02257,0.00844,0.07986,0.01581,0.48003,0.02936,0.59385,0.01028,0.03795,0.00263,0.18271,0.00237,0.47000,0.02956
proposed_reward_free_temporal_credit_v4,5,192,0.74740,0.02620,0.51476,0.02872,0.55208,0.02682,0.02951,0.00994,0.20747,0.02539,0.01562,0.00730,0.07205,0.01459,0.45920,0.02882,0.59408,0.01031,0.03796,0.00262,0.18172,0.00225,0.47415,0.03123
proposed_reward_free_temporal_credit_v4,6,192,0.77517,0.02482,0.51736,0.03098,0.51910,0.03030,0.03646,0.01116,0.19792,0.02271,0.00955,0.00549,0.07465,0.01442,0.45660,0.02859,0.59416,0.01037,0.03772,0.00263,0.18225,0.00234,0.50768,0.02843
proposed_reward_free_temporal_credit_v4,7,192,0.72396,0.02661,0.52604,0.03000,0.56163,0.02602,0.03993,0.01118,0.20312,0.02369,0.01476,0.00671,0.07378,0.01613,0.44792,0.03123,0.59336,0.01032,0.03772,0.00261,0.18221,0.00226,0.44754,0.03172
proposed_reward_free_temporal_credit_v4,8,192,0.76389,0.02306,0.49740,0.02702,0.49045,0.03034,0.03385,0.00981,0.19444,0.02343,0.01476,0.00713,0.09375,0.01699,0.45920,0.02942,0.59339,0.01022,0.03758,0.00262,0.18256,0.00228,0.48167,0.03027
proposed_reward_free_temporal_credit_v4,9,192,0.77344,0.02473,0.52083,0.02880,0.50000,0.03061,0.03385,0.01010,0.20399,0.02360,0.01736,0.00799,0.08247,0.01654,0.40191,0.02847,0.59394,0.01029,0.03778,0.00261,0.18201,0.00225,0.49123,0.03007
pseudo_reward_td_relabeling,0,192,0.63628,0.02657,0.35243,0.02952,0.39583,0.02979,0.14497,0.02312,0.30556,0.02668,0.06684,0.01469,0.16233,0.02243,0.32639,0.02422,0.71193,0.01037,0.08330,0.00262,0.29760,0.00345,0.12863,0.03596
pseudo_reward_td_relabeling,1,192,0.62847,0.02964,0.36545,0.02729,0.42014,0.02854,0.12500,0.01989,0.30990,0.02725,0.06076,0.01472,0.16667,0.02033,0.34115,0.02657,0.71262,0.01036,0.08327,0.00264,0.29799,0.00329,0.13246,0.03764
pseudo_reward_td_relabeling,2,192,0.59722,0.03194,0.37587,0.02977,0.40538,0.02714,0.13368,0.01978,0.27865,0.02666,0.06163,0.01455,0.16059,0.02149,0.32292,0.02526,0.71199,0.01023,0.08337,0.00262,0.29823,0.00342,0.11307,0.04348
pseudo_reward_td_relabeling,3,192,0.64670,0.02588,0.34375,0.02736,0.41580,0.02955,0.13368,0.02050,0.28819,0.02697,0.06337,0.01460,0.16927,0.02269,0.32465,0.02651,0.71255,0.01035,0.08336,0.00261,0.29697,0.00345,0.15116,0.03689
pseudo_reward_td_relabeling,4,192,0.63281,0.02798,0.36198,0.02704,0.38542,0.02990,0.13108,0.01947,0.31076,0.02826,0.07378,0.01613,0.17361,0.02312,0.33333,0.02686,0.71236,0.01031,0.08330,0.00262,0.29841,0.00338,0.11493,0.04124
pseudo_reward_td_relabeling,5,192,0.61979,0.02680,0.33333,0.02824,0.37413,0.02892,0.13368,0.02022,0.29601,0.02705,0.05990,0.01301,0.14844,0.02009,0.33681,0.02761,0.71209,0.01033,0.08337,0.00262,0.29754,0.00339,0.13778,0.03777
pseudo_reward_td_relabeling,6,192,0.66406,0.02890,0.37500,0.02895,0.38802,0.02752,0.12760,0.02022,0.29861,0.02863,0.06337,0.01357,0.16059,0.02052,0.36111,0.02568,0.71208,0.01040,0.08334,0.00263,0.29777,0.00350,0.17252,0.03944
pseudo_reward_td_relabeling,7,192,0.63021,0.02500,0.35851,0.02948,0.39670,0.02820,0.12153,0.01929,0.28472,0.02540,0.04861,0.01153,0.17708,0.02322,0.32812,0.02812,0.71275,0.01030,0.08338,0.00262,0.29822,0.00340,0.15332,0.03631
pseudo_reward_td_relabeling,8,192,0.63281,0.02767,0.35590,0.02927,0.39236,0.02686,0.13281,0.01908,0.32378,0.02753,0.05382,0.01343,0.17014,0.02089,0.34896,0.02763,0.71202,0.01039,0.08335,0.00263,0.29901,0.00347,0.13279,0.03747
