ablation,seed,rows,success,ci95_success,credit_f1,ci95_credit_f1,delayed_blame_f1,ci95_delayed_blame_f1,false_credit,ci95_false_credit,missed_credit,ci95_missed_credit,irreversible_side_effect,ci95_irreversible_side_effect,wasted_action_rate,ci95_wasted_action_rate,early_correction,ci95_early_correction,correction_latency,ci95_correction_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility
full_risk_calibrated_temporal_credit_v5,0,192,0.85243,0.02208,0.58767,0.02802,0.60503,0.03065,0.00347,0.00338,0.14236,0.02184,0.00087,0.00170,0.02691,0.00965,0.52344,0.02594,0.50859,0.01021,0.00254,0.00030,0.07721,0.00260,0.67926,0.02474
full_risk_calibrated_temporal_credit_v5,1,192,0.83767,0.02081,0.62240,0.02758,0.61545,0.02889,0.00174,0.00240,0.14844,0.02189,0.00260,0.00293,0.03472,0.01127,0.51997,0.02926,0.50843,0.01034,0.00254,0.00030,0.07780,0.00268,0.65605,0.02381
full_risk_calibrated_temporal_credit_v5,2,192,0.85503,0.02209,0.61372,0.02717,0.61372,0.02749,0.00174,0.00240,0.12240,0.01971,0.00347,0.00338,0.03385,0.01066,0.53212,0.03126,0.50778,0.01025,0.00258,0.00031,0.07744,0.00266,0.68403,0.02322
full_risk_calibrated_temporal_credit_v5,3,192,0.84809,0.02385,0.60330,0.02650,0.63976,0.02844,0.00000,0.00000,0.14931,0.02046,0.00174,0.00240,0.03038,0.00974,0.52517,0.02878,0.50816,0.01015,0.00256,0.00031,0.07705,0.00262,0.67062,0.02466
full_risk_calibrated_temporal_credit_v5,4,192,0.86545,0.02210,0.58941,0.02963,0.63281,0.02735,0.00174,0.00240,0.14583,0.02178,0.00174,0.00240,0.03819,0.01156,0.51476,0.02716,0.50780,0.01018,0.00256,0.00031,0.07698,0.00259,0.68383,0.02442
full_risk_calibrated_temporal_credit_v5,5,192,0.86111,0.02023,0.59375,0.02693,0.60677,0.02946,0.00174,0.00240,0.14410,0.02134,0.00260,0.00293,0.03212,0.01077,0.52778,0.02796,0.50763,0.01024,0.00253,0.00029,0.07710,0.00262,0.68306,0.02195
full_risk_calibrated_temporal_credit_v5,6,192,0.86372,0.02066,0.56944,0.02775,0.60764,0.02792,0.00087,0.00170,0.13108,0.01947,0.00174,0.00240,0.02691,0.00965,0.53819,0.02729,0.50784,0.01016,0.00259,0.00031,0.07765,0.00272,0.69569,0.02207
full_risk_calibrated_temporal_credit_v5,7,192,0.85677,0.02193,0.59983,0.02885,0.61545,0.02849,0.00347,0.00338,0.13889,0.01965,0.00087,0.00170,0.02951,0.01023,0.52344,0.02788,0.50826,0.01031,0.00257,0.00031,0.07736,0.00266,0.68349,0.02302
full_risk_calibrated_temporal_credit_v5,8,192,0.84983,0.02069,0.61111,0.02775,0.63368,0.02867,0.00347,0.00338,0.14844,0.02149,0.00521,0.00411,0.03212,0.01050,0.50955,0.03292,0.50728,0.01024,0.00258,0.00031,0.07641,0.00267,0.66630,0.02347
full_risk_calibrated_temporal_credit_v5,9,192,0.87413,0.01986,0.59635,0.02929,0.61198,0.02886,0.00174,0.00240,0.12934,0.01970,0.00260,0.00293,0.03125,0.01041,0.50955,0.02710,0.50797,0.01031,0.00257,0.00030,0.07702,0.00270,0.70275,0.02067
