ablation,seed,rows,success,ci95_success,credit_f1,ci95_credit_f1,delayed_blame_f1,ci95_delayed_blame_f1,false_credit,ci95_false_credit,missed_credit,ci95_missed_credit,irreversible_side_effect,ci95_irreversible_side_effect,wasted_action_rate,ci95_wasted_action_rate,early_correction,ci95_early_correction,correction_latency,ci95_correction_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility
no_compensatory_action_masking,0,192,0.75087,0.02436,0.52431,0.02761,0.54774,0.02851,0.06510,0.01444,0.16667,0.02075,0.00521,0.00411,0.09549,0.01662,0.42188,0.02771,0.55732,0.01034,0.00631,0.00112,0.17272,0.00301,0.48401,0.02868
no_compensatory_action_masking,1,192,0.76042,0.02456,0.50781,0.02732,0.50434,0.03131,0.04514,0.01426,0.17535,0.02298,0.00087,0.00170,0.08247,0.01526,0.45312,0.02939,0.55828,0.01039,0.00614,0.00109,0.17311,0.00315,0.51221,0.02866
no_compensatory_action_masking,2,192,0.74045,0.02606,0.51302,0.02792,0.53212,0.02874,0.06337,0.01378,0.18229,0.02173,0.00608,0.00443,0.09375,0.01750,0.47049,0.02974,0.55811,0.01042,0.00626,0.00111,0.17294,0.00309,0.46786,0.03212
no_compensatory_action_masking,3,192,0.77170,0.02229,0.52691,0.02740,0.52170,0.02983,0.04774,0.01122,0.17101,0.02243,0.00260,0.00293,0.09028,0.01560,0.45660,0.02940,0.55818,0.01047,0.00617,0.00109,0.17259,0.00311,0.51732,0.02830
no_compensatory_action_masking,4,192,0.74826,0.02576,0.50868,0.03243,0.51128,0.02906,0.05208,0.01357,0.16493,0.02061,0.00260,0.00293,0.09288,0.01613,0.42795,0.03038,0.55787,0.01035,0.00617,0.00109,0.17291,0.00302,0.49279,0.02959
no_compensatory_action_masking,5,192,0.77170,0.02356,0.50174,0.03136,0.51128,0.02916,0.05382,0.01276,0.16059,0.02122,0.00694,0.00472,0.10069,0.01635,0.45312,0.03046,0.55733,0.01043,0.00620,0.00110,0.17213,0.00307,0.50768,0.02875
no_compensatory_action_masking,6,192,0.74566,0.02750,0.53472,0.02893,0.53038,0.02878,0.06163,0.01373,0.17882,0.02269,0.00781,0.00500,0.09288,0.01539,0.47483,0.03054,0.55858,0.01034,0.00630,0.00112,0.17332,0.00312,0.47392,0.03034
no_compensatory_action_masking,7,192,0.74306,0.02685,0.49913,0.02910,0.50347,0.02750,0.05122,0.01395,0.16319,0.02197,0.00955,0.00549,0.08333,0.01545,0.46267,0.02726,0.55745,0.01043,0.00625,0.00111,0.17272,0.00315,0.48707,0.03085
no_compensatory_action_masking,8,192,0.75521,0.02363,0.49913,0.03085,0.53212,0.02954,0.05295,0.01295,0.18056,0.02306,0.00781,0.00500,0.10503,0.01762,0.45573,0.02769,0.55759,0.01040,0.00620,0.00109,0.17188,0.00320,0.47953,0.02852
no_compensatory_action_masking,9,192,0.75868,0.02516,0.54080,0.03087,0.50260,0.03075,0.05990,0.01367,0.17795,0.02238,0.00434,0.00376,0.10851,0.01850,0.43750,0.02969,0.55745,0.01034,0.00618,0.00108,0.17291,0.00315,0.48246,0.03187
no_confidence_gated_correction,0,192,0.78038,0.02410,0.56337,0.02830,0.58507,0.02782,0.00087,0.00170,0.19618,0.02326,0.05122,0.01331,0.08073,0.01756,0.31858,0.02651,0.58595,0.01026,0.00654,0.00116,0.15125,0.00217,0.48890,0.03206
no_confidence_gated_correction,1,192,0.77691,0.02382,0.56684,0.02687,0.59809,0.02826,0.00174,0.00240,0.16319,0.02089,0.05556,0.01329,0.11458,0.01924,0.28212,0.02614,0.58578,0.01030,0.00645,0.00113,0.15178,0.00223,0.47314,0.03282
no_confidence_gated_correction,2,192,0.79253,0.02492,0.55382,0.02792,0.58420,0.02729,0.00000,0.00000,0.16753,0.01982,0.06076,0.01391,0.08247,0.01654,0.32205,0.02751,0.58573,0.01024,0.00663,0.00115,0.15105,0.00223,0.50195,0.03169
no_confidence_gated_correction,3,192,0.78385,0.02302,0.55816,0.02738,0.61285,0.02664,0.00260,0.00293,0.18316,0.02525,0.04167,0.01157,0.08941,0.01704,0.32378,0.02815,0.58666,0.01025,0.00659,0.00115,0.15085,0.00225,0.50202,0.03068
no_confidence_gated_correction,4,192,0.77604,0.02246,0.54601,0.02976,0.57899,0.02823,0.00087,0.00170,0.19010,0.02420,0.04688,0.01240,0.10069,0.01821,0.30816,0.02754,0.58626,0.01025,0.00656,0.00116,0.15063,0.00218,0.47946,0.02997
no_confidence_gated_correction,5,192,0.79167,0.02237,0.56944,0.02928,0.56424,0.02842,0.00174,0.00240,0.17101,0.02307,0.04514,0.01205,0.10156,0.01737,0.30556,0.02511,0.58619,0.01016,0.00646,0.00114,0.15104,0.00211,0.50408,0.03126
no_confidence_gated_correction,6,192,0.77517,0.02458,0.57031,0.02919,0.57552,0.02695,0.00174,0.00240,0.19358,0.02314,0.04514,0.01205,0.10677,0.01807,0.31163,0.02696,0.58572,0.01024,0.00652,0.00116,0.15093,0.00224,0.47495,0.03034
no_confidence_gated_correction,7,192,0.78472,0.02374,0.55035,0.02917,0.59288,0.02892,0.00087,0.00170,0.17448,0.02292,0.04774,0.01268,0.11372,0.01912,0.30469,0.02830,0.58649,0.01019,0.00654,0.00114,0.15135,0.00220,0.48564,0.03128
no_confidence_gated_correction,8,192,0.78559,0.02571,0.57118,0.02829,0.58941,0.02884,0.00608,0.00443,0.16319,0.02375,0.04861,0.01250,0.10851,0.01802,0.30990,0.02549,0.58651,0.01024,0.00649,0.00115,0.14988,0.00226,0.49102,0.03366
no_confidence_gated_correction,9,192,0.77778,0.02488,0.56337,0.03029,0.59896,0.02956,0.00087,0.00170,0.17188,0.02210,0.03819,0.01104,0.08767,0.01505,0.30903,0.02718,0.58589,0.01027,0.00644,0.00114,0.15119,0.00209,0.50654,0.02970
no_counterfactual_prefix_tests,0,192,0.76736,0.02400,0.45052,0.02935,0.55642,0.02745,0.00260,0.00293,0.22917,0.02466,0.00174,0.00240,0.08681,0.01671,0.49479,0.02843,0.56710,0.01030,0.00418,0.00074,0.16638,0.00242,0.51206,0.02712
no_counterfactual_prefix_tests,1,192,0.78125,0.02408,0.47483,0.03120,0.56163,0.03026,0.00260,0.00293,0.21181,0.02301,0.00174,0.00240,0.09462,0.01536,0.47656,0.02990,0.56796,0.01024,0.00417,0.00074,0.16723,0.00243,0.52826,0.02754
no_counterfactual_prefix_tests,2,192,0.79253,0.02516,0.48003,0.02886,0.57726,0.03163,0.00174,0.00240,0.21181,0.02598,0.00174,0.00240,0.09375,0.01733,0.47569,0.02854,0.56723,0.01031,0.00428,0.00077,0.16666,0.00234,0.54061,0.02869
no_counterfactual_prefix_tests,3,192,0.76389,0.02452,0.45833,0.02803,0.54688,0.02848,0.00521,0.00411,0.20920,0.02415,0.00521,0.00411,0.07812,0.01485,0.46528,0.03059,0.56703,0.01029,0.00423,0.00076,0.16685,0.00241,0.51729,0.02920
no_counterfactual_prefix_tests,4,192,0.74479,0.02483,0.48090,0.02831,0.54253,0.02836,0.00347,0.00338,0.23351,0.02315,0.00087,0.00170,0.09288,0.01768,0.45920,0.02942,0.56714,0.01025,0.00416,0.00075,0.16661,0.00235,0.48443,0.02858
no_counterfactual_prefix_tests,5,192,0.74826,0.02448,0.45920,0.02758,0.55469,0.02763,0.00434,0.00447,0.23872,0.02395,0.00087,0.00170,0.07726,0.01580,0.45920,0.02790,0.56760,0.01021,0.00417,0.00075,0.16616,0.00234,0.49492,0.02653
no_counterfactual_prefix_tests,6,192,0.75955,0.02515,0.46528,0.02853,0.56684,0.02845,0.00434,0.00376,0.22222,0.02343,0.00000,0.00000,0.07986,0.01599,0.44531,0.02927,0.56753,0.01015,0.00414,0.00075,0.16712,0.00247,0.51248,0.02777
no_counterfactual_prefix_tests,7,192,0.76302,0.02417,0.46962,0.02722,0.54601,0.02996,0.00260,0.00293,0.19965,0.02354,0.00260,0.00293,0.07899,0.01486,0.46528,0.02791,0.56766,0.01026,0.00410,0.00074,0.16725,0.00241,0.52392,0.02750
no_counterfactual_prefix_tests,8,192,0.78472,0.02551,0.44184,0.03097,0.55556,0.03036,0.00260,0.00293,0.21441,0.02371,0.00260,0.00293,0.07899,0.01653,0.48785,0.03047,0.56799,0.01019,0.00420,0.00076,0.16619,0.00252,0.53936,0.02821
no_counterfactual_prefix_tests,9,192,0.76562,0.02486,0.47222,0.02668,0.55556,0.02997,0.00434,0.00376,0.22656,0.02554,0.00434,0.00376,0.08681,0.01852,0.43663,0.02830,0.56650,0.01027,0.00423,0.00075,0.16703,0.00243,0.50781,0.02818
no_delayed_eligibility_memory,0,192,0.73611,0.02499,0.53559,0.02655,0.39236,0.02884,0.00347,0.00338,0.24132,0.02573,0.00694,0.00530,0.06771,0.01410,0.43056,0.02848,0.70882,0.01028,0.00562,0.00100,0.19449,0.00204,0.45861,0.02891
no_delayed_eligibility_memory,1,192,0.74913,0.02388,0.56684,0.02835,0.37413,0.02737,0.00260,0.00293,0.23958,0.02526,0.00781,0.00500,0.07726,0.01580,0.40625,0.03009,0.70848,0.01023,0.00570,0.00103,0.19436,0.00215,0.46595,0.02933
no_delayed_eligibility_memory,2,192,0.73177,0.02337,0.54601,0.02667,0.37066,0.02595,0.00260,0.00293,0.23177,0.02619,0.00260,0.00293,0.06944,0.01551,0.41059,0.02630,0.70891,0.01014,0.00573,0.00102,0.19439,0.00208,0.46237,0.02902
no_delayed_eligibility_memory,3,192,0.72656,0.02804,0.54774,0.02725,0.39583,0.02910,0.00174,0.00240,0.26302,0.02723,0.00694,0.00472,0.06858,0.01492,0.41927,0.02844,0.70945,0.01029,0.00564,0.00100,0.19476,0.00212,0.44014,0.03018
no_delayed_eligibility_memory,4,192,0.75521,0.02620,0.55990,0.02687,0.35590,0.02877,0.00260,0.00293,0.24653,0.02460,0.00260,0.00293,0.06944,0.01393,0.43142,0.02795,0.70874,0.01028,0.00567,0.00101,0.19385,0.00211,0.47964,0.02873
no_delayed_eligibility_memory,5,192,0.73177,0.02399,0.55035,0.02897,0.37413,0.02922,0.00260,0.00293,0.21094,0.02457,0.00781,0.00500,0.07378,0.01461,0.41580,0.03127,0.70884,0.01028,0.00570,0.00103,0.19466,0.00211,0.46272,0.02635
no_delayed_eligibility_memory,6,192,0.75608,0.02517,0.52951,0.02864,0.37326,0.02798,0.00347,0.00338,0.25087,0.02424,0.00174,0.00240,0.07812,0.01599,0.42708,0.02768,0.70875,0.01024,0.00572,0.00102,0.19450,0.00215,0.47384,0.02878
no_delayed_eligibility_memory,7,192,0.73090,0.02705,0.51997,0.02886,0.36806,0.03021,0.00434,0.00376,0.24219,0.02528,0.00694,0.00472,0.06337,0.01335,0.40191,0.02857,0.70897,0.01029,0.00567,0.00100,0.19429,0.00210,0.45529,0.03058
no_delayed_eligibility_memory,8,192,0.72830,0.02817,0.53646,0.02988,0.38455,0.02959,0.00608,0.00443,0.20833,0.02519,0.00434,0.00376,0.07292,0.01519,0.43750,0.02808,0.70902,0.01020,0.00569,0.00103,0.19389,0.00217,0.46300,0.03062
no_delayed_eligibility_memory,9,192,0.74045,0.02758,0.53385,0.02735,0.37066,0.02726,0.00174,0.00240,0.23698,0.02680,0.00521,0.00411,0.07031,0.01394,0.41927,0.03070,0.70911,0.01024,0.00567,0.00101,0.19471,0.00200,0.46585,0.02958
no_false_credit_suppression,0,192,0.79080,0.02134,0.58681,0.02740,0.59201,0.02852,0.07031,0.01696,0.13889,0.02080,0.00521,0.00411,0.05122,0.01331,0.47049,0.02895,0.54389,0.01034,0.01124,0.00169,0.13631,0.00253,0.56181,0.02527
no_false_credit_suppression,1,192,0.79080,0.02227,0.56684,0.02643,0.58333,0.02686,0.07465,0.01632,0.17535,0.02433,0.00174,0.00240,0.05382,0.01276,0.46441,0.02741,0.54422,0.01029,0.01133,0.00172,0.13644,0.00244,0.54656,0.02698
no_false_credit_suppression,2,192,0.78993,0.02345,0.57292,0.02911,0.62413,0.02689,0.09375,0.01750,0.17361,0.02410,0.00174,0.00240,0.04688,0.01216,0.48785,0.02798,0.54389,0.01030,0.01120,0.00169,0.13555,0.00236,0.54162,0.02784
no_false_credit_suppression,3,192,0.81250,0.02269,0.57118,0.03018,0.60417,0.02536,0.07378,0.01481,0.16840,0.02171,0.00521,0.00411,0.05642,0.01396,0.47049,0.02945,0.54339,0.01022,0.01122,0.00172,0.13600,0.00245,0.56630,0.02631
no_false_credit_suppression,4,192,0.81684,0.02296,0.56337,0.03000,0.59201,0.02852,0.07639,0.01560,0.16580,0.02096,0.00087,0.00170,0.05469,0.01325,0.50347,0.02924,0.54305,0.01022,0.01124,0.00170,0.13641,0.00237,0.57639,0.02738
no_false_credit_suppression,5,192,0.81163,0.02447,0.59288,0.02841,0.60069,0.02964,0.09028,0.01579,0.15191,0.02113,0.00434,0.00376,0.04167,0.01132,0.48177,0.02928,0.54366,0.01025,0.01122,0.00169,0.13541,0.00246,0.57451,0.02759
no_false_credit_suppression,6,192,0.80990,0.02232,0.55642,0.02890,0.58681,0.02609,0.07552,0.01541,0.14931,0.02171,0.00260,0.00380,0.04167,0.01182,0.49740,0.02637,0.54416,0.01030,0.01140,0.00173,0.13664,0.00238,0.58276,0.02727
no_false_credit_suppression,7,192,0.80469,0.02272,0.54427,0.02595,0.57986,0.02834,0.08507,0.01563,0.16840,0.02288,0.00434,0.00447,0.04861,0.01340,0.50260,0.02869,0.54374,0.01027,0.01118,0.00169,0.13640,0.00244,0.55882,0.02685
no_false_credit_suppression,8,192,0.81771,0.02252,0.56510,0.02943,0.57899,0.03012,0.07986,0.01599,0.14497,0.02156,0.00521,0.00411,0.04948,0.01158,0.43229,0.02886,0.54349,0.01031,0.01125,0.00172,0.13562,0.00254,0.58272,0.02616
no_false_credit_suppression,9,192,0.80903,0.02275,0.54427,0.02539,0.59462,0.02930,0.08160,0.01563,0.18490,0.02464,0.00174,0.00240,0.05208,0.01268,0.49219,0.02857,0.54335,0.01030,0.01130,0.00171,0.13640,0.00237,0.55866,0.02606
no_physical_precondition_graph,0,192,0.75868,0.02348,0.50434,0.03112,0.47483,0.02711,0.00608,0.00504,0.21875,0.02206,0.00781,0.00500,0.09635,0.01534,0.44792,0.02931,0.62575,0.01032,0.00568,0.00101,0.17991,0.00225,0.48398,0.02843
no_physical_precondition_graph,1,192,0.73872,0.02502,0.48090,0.02727,0.49045,0.02887,0.01215,0.00660,0.20747,0.02373,0.00347,0.00338,0.09722,0.01694,0.42708,0.02931,0.62640,0.01029,0.00568,0.00102,0.17985,0.00228,0.46997,0.02975
no_physical_precondition_graph,2,192,0.76042,0.02526,0.49306,0.03078,0.49306,0.02963,0.00781,0.00500,0.21962,0.02516,0.00434,0.00376,0.09462,0.01749,0.42969,0.02869,0.62594,0.01028,0.00568,0.00101,0.17944,0.00224,0.48938,0.03011
no_physical_precondition_graph,3,192,0.76910,0.02457,0.48872,0.02945,0.51910,0.02800,0.00347,0.00338,0.22569,0.02436,0.01128,0.00594,0.08854,0.01599,0.45312,0.02838,0.62627,0.01033,0.00565,0.00100,0.17899,0.00238,0.49368,0.02870
no_physical_precondition_graph,4,192,0.76736,0.02620,0.49392,0.02858,0.49219,0.02957,0.00955,0.00600,0.20660,0.02307,0.00174,0.00240,0.09028,0.01819,0.43229,0.02805,0.62620,0.01031,0.00564,0.00100,0.17926,0.00223,0.50648,0.03020
no_physical_precondition_graph,5,192,0.75955,0.02456,0.49740,0.03150,0.50694,0.02973,0.01042,0.00666,0.20660,0.02382,0.00521,0.00411,0.09201,0.01684,0.44184,0.02749,0.62594,0.01042,0.00559,0.00100,0.17853,0.00213,0.49340,0.02667
no_physical_precondition_graph,6,192,0.76736,0.02507,0.48872,0.02965,0.51215,0.02593,0.00781,0.00500,0.22396,0.02359,0.00260,0.00293,0.09375,0.01682,0.44358,0.02808,0.62607,0.01034,0.00564,0.00101,0.17923,0.00217,0.49694,0.03138
no_physical_precondition_graph,7,192,0.74392,0.02574,0.49306,0.02822,0.49740,0.02880,0.00694,0.00472,0.23177,0.02458,0.00347,0.00338,0.09375,0.01699,0.45833,0.02964,0.62643,0.01026,0.00573,0.00102,0.17892,0.00226,0.46961,0.02992
no_physical_precondition_graph,8,192,0.75694,0.02505,0.45660,0.02745,0.50347,0.02993,0.01215,0.00615,0.23264,0.02507,0.00521,0.00411,0.09201,0.01785,0.44444,0.02958,0.62552,0.01019,0.00558,0.00100,0.17837,0.00229,0.47909,0.02965
no_physical_precondition_graph,9,192,0.76128,0.02490,0.48611,0.02938,0.50694,0.02903,0.01042,0.00621,0.20573,0.02214,0.00260,0.00293,0.08073,0.01506,0.47135,0.03020,0.62599,0.01030,0.00571,0.00103,0.17965,0.00226,0.50535,0.02753
no_risk_calibration,0,192,0.79080,0.02317,0.58420,0.03023,0.57639,0.02963,0.01389,0.00653,0.15538,0.02225,0.01736,0.00761,0.03993,0.01144,0.51997,0.03081,0.53752,0.01029,0.11273,0.00262,0.13142,0.00238,0.56900,0.02613
no_risk_calibration,1,192,0.79688,0.02381,0.56771,0.02995,0.59722,0.03016,0.01562,0.00730,0.16319,0.02103,0.02431,0.00901,0.05469,0.01325,0.46788,0.02729,0.53588,0.01023,0.11299,0.00261,0.13123,0.00237,0.55441,0.02642
no_risk_calibration,2,192,0.81163,0.02459,0.57378,0.02851,0.59722,0.02908,0.00955,0.00600,0.17708,0.02284,0.01910,0.00753,0.05208,0.01268,0.47830,0.02685,0.53764,0.01018,0.11297,0.00263,0.13105,0.00234,0.57331,0.02991
no_risk_calibration,3,192,0.79514,0.02436,0.56858,0.02917,0.57205,0.02970,0.01302,0.00634,0.15451,0.01937,0.02170,0.00899,0.03819,0.01229,0.47396,0.03048,0.53679,0.01027,0.11315,0.00262,0.13095,0.00236,0.57050,0.02774
no_risk_calibration,4,192,0.80035,0.02367,0.58594,0.02740,0.57031,0.02786,0.01302,0.00634,0.15625,0.01909,0.01823,0.00813,0.05382,0.01206,0.47396,0.02871,0.53701,0.01021,0.11306,0.00261,0.13081,0.00228,0.56909,0.02965
no_risk_calibration,5,192,0.79080,0.02451,0.56076,0.02764,0.59722,0.02858,0.00955,0.00600,0.15278,0.02108,0.02170,0.00831,0.05729,0.01379,0.51215,0.02735,0.53673,0.01026,0.11299,0.00262,0.13085,0.00240,0.55674,0.02798
no_risk_calibration,6,192,0.79774,0.02402,0.60330,0.02941,0.59462,0.03028,0.00521,0.00411,0.16493,0.02351,0.01823,0.00738,0.05469,0.01280,0.49219,0.02868,0.53710,0.01019,0.11297,0.00260,0.13066,0.00245,0.56604,0.02796
no_risk_calibration,7,192,0.80295,0.02107,0.56858,0.02785,0.57986,0.02782,0.01128,0.00594,0.16840,0.02158,0.01997,0.00768,0.03906,0.01085,0.49479,0.02718,0.53706,0.01034,0.11282,0.00262,0.13131,0.00234,0.57467,0.02501
no_risk_calibration,8,192,0.80382,0.02250,0.56250,0.02829,0.55556,0.02948,0.01389,0.00737,0.17448,0.02330,0.02691,0.00995,0.04080,0.01099,0.49132,0.02769,0.53675,0.01023,0.11317,0.00263,0.13069,0.00236,0.56304,0.02777
no_risk_calibration,9,192,0.79427,0.02329,0.56076,0.02927,0.60764,0.02761,0.01562,0.00769,0.16580,0.02124,0.01823,0.00776,0.04514,0.01276,0.49913,0.02818,0.53720,0.01029,0.11291,0.00264,0.13091,0.00237,0.56311,0.02724
pseudo_reward_td_only,0,192,0.62587,0.02962,0.36545,0.02954,0.39149,0.02695,0.13715,0.02061,0.29601,0.02912,0.06684,0.01387,0.14410,0.02093,0.34115,0.02533,0.71230,0.01036,0.08314,0.00261,0.29789,0.00333,0.13723,0.04022
pseudo_reward_td_only,1,192,0.65538,0.02643,0.38194,0.02738,0.37760,0.02912,0.11806,0.01897,0.31684,0.02911,0.05990,0.01409,0.15017,0.02152,0.33767,0.02889,0.71288,0.01038,0.08335,0.00260,0.29782,0.00351,0.17092,0.03396
pseudo_reward_td_only,2,192,0.60677,0.02655,0.35764,0.02740,0.42795,0.02901,0.12413,0.01857,0.31250,0.02724,0.06597,0.01506,0.18663,0.02146,0.32118,0.02547,0.71234,0.01032,0.08329,0.00263,0.29830,0.00342,0.09202,0.03512
pseudo_reward_td_only,3,192,0.63455,0.02771,0.35764,0.02664,0.41146,0.02812,0.13889,0.02080,0.30382,0.02915,0.07118,0.01516,0.18403,0.02400,0.32639,0.02749,0.71246,0.01029,0.08332,0.00262,0.29778,0.00353,0.11222,0.03710
pseudo_reward_td_only,4,192,0.60764,0.02974,0.39236,0.02740,0.38021,0.02712,0.13368,0.01978,0.30035,0.02667,0.06771,0.01451,0.17795,0.02172,0.33247,0.02713,0.71293,0.01037,0.08323,0.00260,0.29807,0.00338,0.09679,0.03707
pseudo_reward_td_only,5,192,0.65017,0.02692,0.33854,0.02894,0.42535,0.02882,0.12500,0.02089,0.29427,0.02897,0.05469,0.01347,0.14323,0.01939,0.34896,0.02866,0.71187,0.01035,0.08303,0.00262,0.29791,0.00327,0.18208,0.03473
pseudo_reward_td_only,6,192,0.62934,0.02705,0.35937,0.02881,0.41667,0.02729,0.11111,0.01745,0.29514,0.02675,0.03993,0.01218,0.16493,0.02158,0.34896,0.02611,0.71278,0.01022,0.08329,0.00261,0.29861,0.00347,0.17016,0.03707
pseudo_reward_td_only,7,192,0.64931,0.02483,0.35677,0.02840,0.38108,0.02704,0.13108,0.02132,0.32292,0.02830,0.05382,0.01230,0.16146,0.02262,0.34722,0.02848,0.71228,0.01032,0.08325,0.00263,0.29760,0.00341,0.15583,0.03798
pseudo_reward_td_only,8,192,0.61458,0.03048,0.35156,0.02775,0.39236,0.02740,0.12240,0.01864,0.33507,0.02750,0.06771,0.01490,0.16406,0.02230,0.31337,0.02906,0.71259,0.01035,0.08336,0.00262,0.29762,0.00344,0.10322,0.03791
pseudo_reward_td_only,9,192,0.63368,0.02634,0.37326,0.02839,0.38889,0.02613,0.12847,0.02046,0.30122,0.02707,0.06944,0.01551,0.16319,0.02210,0.32205,0.02875,0.71298,0.01036,0.08327,0.00260,0.29793,0.00334,0.13220,0.03629
v4_temporal_credit_rules,0,192,0.76128,0.02537,0.51562,0.02926,0.47222,0.02848,0.03125,0.01013,0.20486,0.02363,0.01302,0.00679,0.07118,0.01417,0.43750,0.02735,0.59349,0.01028,0.03774,0.00261,0.18236,0.00224,0.49181,0.02935
v4_temporal_credit_rules,1,192,0.75608,0.02552,0.53385,0.02960,0.50694,0.02717,0.03993,0.01092,0.19010,0.02309,0.01823,0.00738,0.07812,0.01635,0.45139,0.02717,0.59399,0.01027,0.03766,0.00262,0.18229,0.00232,0.47852,0.03054
v4_temporal_credit_rules,2,192,0.74566,0.02400,0.49653,0.03003,0.51042,0.03251,0.04861,0.01340,0.22135,0.02426,0.02083,0.00818,0.07986,0.01525,0.44965,0.02847,0.59322,0.01029,0.03772,0.00262,0.18228,0.00228,0.44699,0.03044
v4_temporal_credit_rules,3,192,0.73611,0.02511,0.50521,0.02914,0.53212,0.02944,0.02865,0.00985,0.22049,0.02587,0.01302,0.00679,0.06076,0.01472,0.43663,0.02820,0.59372,0.01031,0.03782,0.00263,0.18189,0.00230,0.46774,0.02886
v4_temporal_credit_rules,4,192,0.74306,0.02641,0.52951,0.02772,0.52691,0.02915,0.04340,0.01092,0.18663,0.02340,0.01562,0.00730,0.09288,0.01700,0.42535,0.02705,0.59388,0.01031,0.03778,0.00262,0.18152,0.00223,0.45902,0.03193
v4_temporal_credit_rules,5,192,0.76476,0.02612,0.50608,0.02786,0.53299,0.03006,0.03299,0.01058,0.21615,0.02565,0.02431,0.00901,0.06597,0.01525,0.44531,0.02897,0.59306,0.01031,0.03782,0.00263,0.18155,0.00217,0.48059,0.03196
v4_temporal_credit_rules,6,192,0.77865,0.02521,0.50260,0.02829,0.52865,0.02971,0.03646,0.01116,0.21962,0.02528,0.01476,0.00713,0.08160,0.01636,0.43837,0.02807,0.59351,0.01032,0.03793,0.00261,0.18227,0.00227,0.49209,0.03249
v4_temporal_credit_rules,7,192,0.75260,0.02541,0.51736,0.02782,0.52604,0.02572,0.03906,0.01187,0.20399,0.02456,0.01997,0.00768,0.08073,0.01506,0.42882,0.02829,0.59408,0.01035,0.03780,0.00262,0.18224,0.00231,0.46609,0.02924
v4_temporal_credit_rules,8,192,0.74653,0.02518,0.52257,0.02711,0.50521,0.02812,0.04080,0.01224,0.20052,0.02431,0.01476,0.00753,0.07031,0.01515,0.43056,0.02765,0.59375,0.01037,0.03787,0.00262,0.18155,0.00228,0.47287,0.02956
